titulo	nombre	reparticion	sigla	sexo
Sr	Diego Fernandez	Secretaría Innovación y Transformación Digital	SECITD	M
Sra	Leticia Montiel	Secretaría Legal y Técnica	SECLYT	F
Sr	Facundo Carrillo	Secretaría Planificación Evaluación y Coordinación de Gestión	SECPECG	M
Sra	Paula Uhalde	Secretaría Transformación Cultural	SECTC	F
Sra	Maria Manuela Lopez Menendez	Secretaría Transporte y Obras Públicas	SECTOP	F
Sr	Eduardo Alberto Cura	Señal de Cable de la Ciudad	SCCIU	M
Sra	Monica Beatriz Freda	Sindicatura General de la Ciudad de Buenos Aires	SGCBA	F
Sr	Francisco Andres Resnicoff	Subsecretaría  de Relaciones Internaciones	SSRIN	M
Sra	Pamela Malewicz	Subsecretaría  Derechos Humanos y Pluralismo Cultural	SSDHPC	F
Sra	Viviana Cantoni	Subsecretaría  Gestión Cultural	SSGCULT	F
Sra	Luciana Blasco	Subsecretaría  Políticas Culturales y Nuevas Audiencias	SSPCNA	F
Sr	Ariel Álvarez Palma	Subsecretaría  Políticas de Infraestructura Verde Urbana y Desarrollo Sost	SSPIVUDS	M
Cdor	ADRIAN ROBERTO HAVAS	Subsecretaría Administración	SSAD	M
Sr	Max Perkins Oneto Gaona	Subsecretaría Administración	SSADMINIS	M
Sr	Carlos Alberto Rapisarda	Subsecretaría Administración de Bienes Inmuebles	SSABI	M
Lic	Victoria Rodriguez Quintana	Subsecretaría Administración del Sistema de Salud	SSASS	F
Sra	Eugenia Cortona	Subsecretaría Agencia de Aprendizaje a lo largo de toda la vida	SSAALV	F
Sr	Roberto Quattromano	Subsecretaría Articulacion y Fortalecimiento de Gestion	SSAFG	M
Sr	Diego Marias	Subsecretaría Asuntos Metropolitanos y Transferencia de Competencias	SSAMTC	M
Sr	Sergio Gabriel iacovino	Subsecretaría Asuntos Políticos	SSAPOL	M
Sr	Juan Pablo Limodio	Subsecretaría Asuntos Públicos Estratégicos	SSAPE	M
Sra	Laura Cordero	Subsecretaría Atención Hospitalaria	SSAH	F
Sr	Oscar Mauricio Ghillione	Subsecretaría Carrera Docente	SSCDOC	M
Sr	Agustin Suarez	Subsecretaría Ciudad Inteligente	SSCIUI	M
Sr	Maximo Merchensky	Subsecretaría Comunicación Social	SSCS	M
Sr	Carlos Fabian Macchi	Subsecretaría Cooperación para el Desarrollo Económico y la Producción	SSCPEDEP	M
Sr	Vicente Ventura Barreiro	Subsecretaría Coordinación de Asuntos Estratégicos	SSCAE	M
Sr	Jose Alberto Ferrentino	Subsecretaría Coordinación General de Asuntos Públicos	SSCGAP	M
Sra	Lucia Feced	Subsecretaría Coordinación Pedagógica y Equidad Educativa	SSCPEE	F
Sr	Maximiliano Corach	Subsecretaría de Asuntos Interjurisdiccionales	SSASINT	M
Sra	Manuela Maunier	Subsecretaría de Comunicación y Participación Ciudadana	SSCPC	F
Sra	Fanny Peña Sanchez	Subsecretaría de Contenido y Producción	SSCP	F
Sr	Mauricio Juan Colello	Subsecretaría de Vinculación y Comunicación Interjurisdiccional	SSVCI	M
Sr	Gaston Corti	Subsecretaría Desarrollo Ciudadano	SSDDC	M
Sra	Maria Belen Barreto	Subsecretaría Desarrollo del Potencial Humano	SSDPH	F
Sr	Pablo Sergio Lera	Subsecretaría Desarrollo Económico	SSDECO	M
Sr	Daniel Ricardo Nieto Michel	Subsecretaría Desarrollo Inclusivo	SSDIN	M
Sr	Nestor Nicolas	Subsecretaría Emergencias	SSEMERG	M
Sr	Lucas Guillermo Daniel Caceres	Subsecretaría Experiencia Digital	SSED	M
Sr	Abel I. Fernandez Semhan	Subsecretaría Finanzas	SSFIN	M
Sr	Diego Perez Lorgueilleux	Subsecretaría Gestión Administrativa	SSGA	M
Sra	Victoria Roldan Mendez	Subsecretaría Gestión Comunal	SSGCOM	F
Sr	Francisco Perez Martinez	Subsecretaría Gestión de la Movilidad	SSGMO	M
Lic	Sebastian Emanuel Fernandez	Subsecretaría Gestión de Recursos Humanos	SSGRH	M
Ing	Sebastian Tomaghelli	Subsecretaría Gestión Económico Financiera y Administración de Recursos	SSGEFYAR	M
Sra	Claudia Gabriela Jaime	Subsecretaría Gestión Operativa	SSGEOPE	F
Sr	Alfonso Javier Crotto	Subsecretaría Gestión Urbana	SSGU	M
Sr	Cesar Ángel Torres	Subsecretaría Gobierno	SSGOBIER	M
Sr	Gustavo Arengo Piragine	Subsecretaría Hacienda	SSHA	M
Sr	Pedro Comin Villanueva	Subsecretaría Higiene Urbana	SSHU	M
Sr	Jorge Djivaris	Subsecretaría Justicia	SSJUS	M
Sr	Pablo Pulita	Subsecretaría Mantenimiento Urbano	SSMAURB	M
Sr	Federico Hoffmann	Subsecretaría Medios y Prensa	SSMYP	M
Sr	Christian Federico Bauab	Subsecretaría Micro Pequeñas y Medianas Empresas	SSMPME	M
Sr	Marcelo Palacio	Subsecretaría Obras	SSOBRAS	M
Sr	Juan Vacas	Subsecretaría Paisaje Urbano	SSPURB	M
Lic	SOFIA ANGELA TORROBA	Subsecretaría para Personas Mayores	SSPPM	F
Sr	Ezequiel Daglio	Subsecretaría Participación Ciudadana en Seguridad	SSPCES	M
Sra	Lucia Capelli	Subsecretaría Planificación de la Movilidad	SSPMO	F
Sr	Daniel Ferrante	Subsecretaría Planificación Sanitaria y Gestión de Red	SSPSGER	M
Sr	Hector Gatto	Subsecretaría Políticas Gastronómicas	SSPOG	M
Sra	Melisa Breda	Subsecretaría Políticas Públicas basadas en Evidencia	SSPPBE	F
Sr	Eduardo Petrini	Subsecretaría Prevención y Vinculación Ciudadana en Seguridad	SSPVCS	M
Sr	Ezequiel Pedro Bisso	Subsecretaría Proyección Estratégica	SSPES	M
Sr	Maximiliano Hernan Pineiro	Subsecretaría Seguridad Ciudadana y Orden Público	SSSCOP	M
Sr	Anibal German Falivene	Subsecretaría Seguridad Comunal e Investigación Criminal	SSSCEIC	M
Sr	Gonzalo Martín Straface	Subsecretaría Servicios al Ciudadano	SSSAC	M
Sr	Gaston Navarro	Subsecretaría Tecnología e Informática	SSTI	M
Sr	Santiago Andres	Subsecretaría Tecnología Educativa y Sustentabilidad	SSTES	M
Sr	Ezequiel Jarvis	Subsecretaría Trabajo Industria y Comercio	SSTIYC	M
Sra	María Eugenia Paredes	Técnica y Administrativa Subsecretaría Coordinación Legal	SSCLTA	F
Sr	Andres Sisti	Tecnología e Informática Dirección General Activos Digitales	DGADTI	M
Sra	Laura Virginia Costancio	Unidad Coordinación Administrativa	CAAGC	F
Sr	Sebastian Zirpolo	Unidad de Análisis Prospectivo	UAP	M
Sr	Waldo Ezequiel Wolff	Unidad de Asuntos Públicos	UAPU	M
Sr	Leonardo Bertolino	Unidad de Auditoría Interna AGC	UAIAGC	M
Dr	Jose Fernando Lahoz	Unidad de Auditoría Interna AGIP	UAIAGIP	M
Sra	Marianela Aldana Navasal	Unidad de Auditoría Interna APRA	UAIAPRA	F
Sra	Nadina Graciela Mezza	Unidad de Auditoría Interna ASINF	UAIASINF	F
Cdor	Javier Demarchi	Unidad de Auditoría Interna MC	UAIMC	M
Sr	PATRICIO EZEQUIEL JACCOUD GIRART	Unidad de Auditoría Interna MDEPGC	UAIMDEP	M
Sra	Hebe Martinez	Unidad de Auditoría Interna MDHYHGC	UAIMDHYH	F
Dr	Osvaldo Mariano Caglia	Unidad de Auditoría Interna MED	UAIMED	M
Sra	Maria Fernanda Barrio	Unidad de Auditoría Interna MEPHU	UAIMEPHU	F
Lic	Sandra Ibendahl	Unidad de Auditoría Interna MGOB	UAIGOB	F
Cdor	Gustavo Szuchter	Unidad de Auditoría Interna MHFGC	UAIMHF	M
Sra	Delia Grisolia	Unidad de Auditoría Interna MJG	UAIMJG	F
Sra	Alicia Celina Olivieri Alberti	Unidad de Auditoría Interna MJYS	UAIMJYS	F
Dra	Silvia Susana Platas	Unidad de Auditoría Interna MS	UAIMS	F
Sr	Hector Mesquida	Unidad de Auditoría Interna SECLYT	UAILYT	M
Sra	Carolina De Sande	Unidad de Coordinación de Sanidad y Tenencia Resp. de Mascotas	UCSYTRM	F
Sr	Juan Manuel Seco	Unidad de Coordinación Gestión de Políticas Productivas	UCGPP	M
Sr	Leandro Joel Iribas	Unidad de Enlace del Consejo de Seguridad y Prevención del delito - LEY N° 1.689- y Coordinación del PROCOM	UECSYPD	M
Sr	Martin Gospedini	Unidad de Gestion Intervencion Social	UGIS	M
Sr	Eduardo Alberto Macchiavelli	Unidad de Proyección Federal y Desarrollo Territorial	UPFDT	M
Sr	Francisco Jose Recondo	Unidad de Proyectos Especiales (UPE) Transformación Digital en Salud y Registro de Historia Clínica Electrónica	UPETDESRHCE	M
Sr	Tomas Galmarini	Unidad de Proyectos Especiales (UPE) Urbanización Barrio Padre Carlos Mugica	UUBPCM	M
Sra	Antonella Carla Mitidieri	Unidad de Proyectos Especiales UPE Eficiencia de Recursos y Gastos	UPEERG	F
Sr	Juan Martin Malcolm	Unidad Operativa de Planificación y Coordinación de Gestión	UOPCGAGC	M
Sr	JOSE MANUEL RAMOS	Unidad Operativa Fiscalización Integral	UOFIAGC	M
Sra	Carmen Amorim Uribelarrea	Unidad para la Igualdad de Género y Asuntos Institucionales	UPIGAI	F
Sr	Matias Mahia	UPE Autódromo de la CABA	UPEACABA	M
Sr	Federico Iglesias	UPE Ecoparque Interactivo de la CABA	UPEEI	M
Sr	Federico Croce	UPE Infraestructura de la Movilidad	UPEIM	M
Sra	Maria Karina Spalla	UPE Instituto de Formación Política y Gestión Pública	UPEIFPGP	F
Sra	Victoria Eugenia Noorthoorn	UPE Museo de Arte Moderno de Bs As	UPEMAM	F
Sr	Leandro Selim Saaied	UPE p/ la Renov. Urbana de la Traza de la Ex-AU3 - Ley Nº3.396	UEEXAU3	M
Sr	Carlos Gabriel Coronel	UPE Parque de la Ciudad	UPEPCIUD	M
Sr	Luis Bullrich	UPE Parque de la Innovación	UPEPI	M
Lic	Mariana Laura Arribas	UPE Seguimiento y Coordinación Administrativa	UPESCA	F
Sra	Maria Fernanda Borioli Diaz	UPE Simplificación Productiva	UPESP	F
