Marca temporal	Identidad de Género	Edad	Máximo nivel de formación	¿Qué carrera de grado estudiaste?	¿En qué tipo de universidad estudiaste tu carrera de grado?	País en el que trabajas	Provincia donde trabajas	Trabajo	Rubro de la empresa	¿Cuántos empleados tiene la empresa?	Origen del capital	¿Cuántas personas integran el área de RRHH?	¿En qué puesto trabajás?	Tipo de contratación	¿Cómo es tu jornada laboral?	¿Cuál es tu función principal en RRHH?	¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?)	¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año)	¿Hace cuántos años estás en tu puesto actual? (0 para menos de un año)	¿Cuántos años de experiencia tenés en RRHH?	¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones)	¿Qué beneficios tenés?	¿Recibís bonos?	¿Tuviste ajustes por inflación en 2021?	¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2021?	Mes del último ajuste	¿Trabajás en proyectos independientes además de tu empleo?	¿Qué sistema de gestión de RRHH usan en tu empresa?	¿Cómo se llama el área en tu empresa?	¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?	¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?	¿Qué tan satisfecho estás con tu empresa?	¿Estás buscando trabajo?	¿Qué beneficios te gustaría tener?	¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?	Definí a RRHH con una sola palabra	¿Te identificás como LGBTIQ+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?	En tu empresa puedes ser como realmente eres (por ej.: expresar abiertamente tu personalidad, tu identidad de género, orientación sexual, etc.).	¿Qué porcentaje aproximado del management de tu empresa son mujeres? (Entiéndase posiciones de Jefatura, de Gerencia, o de Dirección)	Es importante incorporar el lenguaje inclusivo en la organización.	¿Tenés alguna discapacidad?	¿En tu organización existe una línea segura o políticas definidas para actuar frente a situaciones de acoso o discriminación?	¿Sufriste alguna situación de acoso, abuso o de discriminación en algún trabajo?	¿Estás trabajando desde tu casa?	¿Cómo están planeando el regreso a las oficinas?	¿En qué mes está planificado el retorno de la mayoría de los empleados?	¿Cómo fue la decisión del esquema de teletrabajo a realizar?	Cantidad de días que se aplicará teletrabajo	Las nuevas contrataciones, ¿bajo qué modalidad ingresaron?	¿Qué tan satisfecho estás con la decisión de retornar a la oficina?	¿Cómo valorarías la gestión de tu empresa durante la pandemia del COVID?	¿Cómo estás registrado/a fiscalmente?	¿Hace cuántos años trabajás como freelance?	¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19)	¿Exportás tus servicios?	Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?	¿Aceptás pagos en cuotas?	¿Trabajás con otros freelancers de tu mismo rubro?	¿Tu servicio principal está relacionado con búsqueda y selección?	¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?	¿Trabajás a riesgo?	¿Cuál es el coeficiente que cobrás por tus servicios?	El coeficiente lo calculás sobre:	¿Ofrecés garantía?	¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere)	¿Cuál es el valor hora promedio que ofrecés? (moneda local)
25/10/2021 14:35:47	Prefiero no responder	36 - 40	Diplomado de posgrado en curso	Psicología	Universidad Privada	Paraguay		Relación de Dependencia	Otros	251 - 500	Nacional	4	Responsable	Indeterminado	Full time	Capacitación y desarrollo	0	0	3	10	5000000	No tengo beneficios adicionales	No recibo bono	No tuve ajustes	0	Septiembre	Si, en emprendimiento relacionado con RRHH	No tenemos sistema de gestión	Recursos Humanos	No		3	Sí, activamente	Salario acorde a formación, horas y dias libres o homeoficce	Cuanto pesas	Aliado	Prefiero no responder	Totalmente en desacuerdo	50%	Totalmente en desacuerdo	Obesidad	No	Si	No	En evaluación	Ya volvimos 100%	No aplica	No aplica	Presencial	Algo insatisfecho	4															
25/10/2021 14:35:49	Mujer cis	25 - 30	Universitario en curso	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Buenos Aires	Relación de Dependencia	Educación	51 - 100	Nacional	2	Analista	Indeterminado	Full time	Administración de personal	0	2	2	4	87000	Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Home office, Seguro de vida (adicionales a los de ley)	No recibo bono	1 solo	20	Octubre	No	No tenemos sistema de gestión	Recursos Humanos	No	10%	3	No,  pero escucho ofertas	capacitación y home office	Plato preferido y como me identifico a través del mismo. Pregunta de Assesment	Gestión	No	Ni de acuerdo ni en desacuerdo	70%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	No	No	Voy rotando entre la oficina y el teletrabajo	En evaluación	Noviembre 2021	De la empresa	4 días	Teletrabajo	Algo insatisfecho	4															
25/10/2021 14:40:04	Hombre cis	31 - 35	Universitario en curso	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Otros	251 - 500	Nacional	6	Responsable	Indeterminado	Full time	Generalista	2	14	1	12	120000	Medicina prepaga / Plan de salud	No recibo bono	2 ajustes	36	Agosto	No	Gv sistemas	Relaciones Industriales	No	10%	3	No,  pero escucho ofertas	Nafta, pago de capacitaciones 	Por que me case?	Estrategico	No	Ni de acuerdo ni en desacuerdo	30%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	Si	No	No	Presencial 100%	Ya volvimos 100%	De la empresa	No aplica	Presencial	Algo satisfecho	4															
25/10/2021 14:43:37	Hombre cis	25 - 30	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Servicios profesionales	2.501 - 5.000	Multinacional	17	Analista	Indeterminado	Full time	HRIS 	0	0	0	5	138000	Medicina prepaga / Plan de salud, Vacaciones extendidas, Abono de celular, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Idiomas, Seguro de vida (adicionales a los de ley)	Un sueldo	2 ajustes	45	Septiembre	No	Workday	HR Support	Si	80%	5	No estoy buscando cambiar	Pago de capacitaciones, posgrados, certificaciones, etc.		PERSONAS	No	Totalmente de acuerdo	40%	En desacuerdo	No tengo ninguna discapacidad	Si	No	Si	Mixto	Marzo 2022 en adelante	De la empresa	3 días	Mixta	Algo insatisfecho	4															
25/10/2021 14:45:50	Mujer cis	25 - 30	Diplomado de posgrado en curso	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Tecnologías de información	101 - 250	Multinacional	4	Analista	Indeterminado	Full time	Reclutamiento y selección	0	1	1	3	102350	Medicina prepaga / Plan de salud, Horarios flexibles, Abono de internet, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office, Idiomas, Reintegro en electricidad	No recibo bono	3 o más ajustes	48	Octubre	No	No tenemos sistema de gestión	Talento y Cultura	No		4	No estoy buscando cambiar	Sueldo en dólares		Gente	No	Totalmente de acuerdo	50%	Totalmente de acuerdo	No tengo ninguna discapacidad	No	No	Si	Remoto 100%		De común acuerdo	A elección de cada empleado	Teletrabajo		4															
25/10/2021 14:52:50	Hombre cis	36 - 40	Terciario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Otros	1 - 50	Nacional	1	Responsable	Indeterminado	Full time	Generalista	0	4	4	15	220000	Medicina prepaga / Plan de salud, Abono de celular, Posgrados	No recibo bono	3 o más ajustes	59	Septiembre	No	Softland	Recursos Humanos	No	10%	4	No,  pero escucho ofertas	Bono por rendimiento																																
25/10/2021 14:59:55	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Buenos Aires	Relación de Dependencia	Tecnologías de información	51 - 100	Nacional	3	Analista	Indeterminado	Full time	Reclutamiento y selección	0	0	5	5	135000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Home office	No recibo bono	2 ajustes	45	Septiembre	No	No tenemos sistema de gestión																																						
25/10/2021 15:02:12	Mujer cis	31 - 35	Diplomado de posgrado en curso	Psicología	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Construcción	51 - 100	Nacional	3	Analista	Monotributista	Full time	Generalista	0	0	0	10	105000	Horarios flexibles, Idiomas	No recibo bono	1 solo	10	Septiembre	No	No tenemos sistema de gestión	Recursos Humanos	No	10%	3	Sí, activamente		Si tenia pensado ser madre ese año. 		No	Ni de acuerdo ni en desacuerdo	50%	Totalmente de acuerdo	No tengo ninguna discapacidad	No	Si	No	Presencial 100%	Ya volvimos 100%	De la empresa	No aplica	Presencial	Algo satisfecho	1															
25/10/2021 15:10:12	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Santa Fe	Relación de Dependencia	Otros	251 - 500	Nacional	4	HRBP	Indeterminado	Full time	Reclutamiento y selección	0	3	3	10	179.000	Medicina prepaga / Plan de salud, Horarios flexibles	No recibo bono	1 solo	30	Septiembre	Si, en emprendimiento relacionado con RRHH	Bejerman	Recursos Humanos	No	10%	4	No estoy buscando cambiar	Home Office 	-	Servicio	Prefiero no responder	Ni de acuerdo ni en desacuerdo	10%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	No	No	No	Presencial 100%	Ya volvimos 100%	De la empresa	No aplica	Presencial	Algo insatisfecho	4															
25/10/2021 15:34:04	Mujer cis	31 - 35	Terciario completo	RRHH / RRLL / RRTT	No estudié en la Universidad	Uruguay		Relación de Dependencia	Construcción	101 - 250	Nacional	3	Analista	Indeterminado	Full time	Todos los anteriores	0	1	1	12	48000	No tengo beneficios adicionales	No recibo bono	1 solo	6.5	Marzo	No	No tenemos sistema de gestión	Recursos Humanos	No	10%	3	Sí, activamente	Varios	Sobre los hijos	.	No	Totalmente en desacuerdo	10%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	No	Si	Voy rotando entre la oficina y el teletrabajo	Presencial 100%	Ya volvimos 100%	De la empresa	No aplica	Presencial	Algo satisfecho	1															
25/10/2021 15:55:22	Hombre cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Santa Fe	Relación de Dependencia	Servicios de salud	101 - 250	Nacional	2	Responsable	Indeterminado	Full time	Generalista	0	3	1	3	131000	Comedor / Almuerzos, Préstamos	Un sueldo	No tuve ajustes	30	Agosto	No	UBIAR	Recursos Humanos	No	10%	3	No,  pero escucho ofertas	Gimnasio - horarios flexibles - modelo hibrido de trabajo		Soporte	No	Ni de acuerdo ni en desacuerdo	30%	En desacuerdo	No tengo ninguna discapacidad	No	No																							
25/10/2021 16:05:34	Hombre cis	41 - 45	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Construcción	251 - 500	Nacional	2	Jefe	Indeterminado	Full time	Administración de personal	2	3	7	15	250000	Medicina prepaga / Plan de salud, Frutas y snacks, Gimnasio, Home office, Préstamos	No recibo bono	3 o más ajustes	30	Octubre	No	BS GESTIÓN	Recursos Humanos	No	0%	5	No,  pero escucho ofertas			DEDICACIÓN	No	Totalmente de acuerdo	30%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	No	No	No	Mixto	No esta definido	De la empresa	2 días	Mixta	Muy satisfecho	5															
25/10/2021 16:17:05	Mujer cis	18 - 25	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Buenos Aires	Relación de Dependencia	Alimentación, bebidas	101 - 250	Nacional	2	Supervisor	Plazo Fijo	Full time	Generalista	1	1	1	4	150000	Medicina prepaga / Plan de salud	No recibo bono	1 solo	10	Mayo	No	Nucleus																																						
25/10/2021 16:25:06	Mujer cis	25 - 30	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	La Pampa	Freelance																																												Monotributista	3	Casa	No	no exporto	Si, eventualmente	Si	Si	No	Si	40	Remuneración mensual del ingresante	3 meses		
25/10/2021 16:50:42	Mujer cis	18 - 25	Universitario completo	Psicología	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Servicios de consultoría	1.001 - 2.500	Multinacional	20	Analista	Indeterminado	Full time	Generalista	0	0	0	4	100000	Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Seguro de vida (adicionales a los de ley)	Un sueldo	1 solo	14	Septiembre	No	No tenemos sistema de gestión	Recursos Humanos	Si	70%	3	Sí, activamente	Gimnasio, capacitacion, bonos por eventos, etc	No recuerdo	Motor	Si	Totalmente de acuerdo	50%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	Si	Si	Si	Mixto	No esta definido	No aplica	3 días	Mixta	Muy satisfecho	4															
25/10/2021 16:57:34	Mujer cis	18 - 25	Universitario en curso	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Otros	501 - 1.000	Multinacional	12	Pasante	Pasante	Part time	Reclutamiento y selección	0	0	0	0	30588	Medicina prepaga / Plan de salud, Vacaciones extendidas, Charter / Servicio de transporte, Comedor / Almuerzos, Home office	No recibo bono	1 solo	0	Marzo	No	usan muchos diferentes, incluidos Meta4 y SAP	Recursos Humanos	Si	0%	3	No estoy buscando cambiar	Créditos para aplicaciones de comida			No	De acuerdo	0%	De acuerdo	No tengo ninguna discapacidad	No se	No	Si	Mixto	No aplica	De la empresa	No aplica	Teletrabajo	Algo satisfecho	5															
25/10/2021 16:58:11	Mujer cis	18 - 25	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Tecnologías de información	251 - 500	Nacional	8	Analista	Indeterminado	Full time	Generalista	0	2	2	4	114000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office	No recibo bono	3 o más ajustes	30	Noviembre	No	No tenemos sistema de gestión																																						
25/10/2021 17:07:20	Mujer cis	31 - 35	Diplomado de posgrado completo	Comunicación Social	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Comercio	501 - 1.000	Nacional	8	Responsable	Indeterminado	Full time	Comunicación interna	1	2	2	6	149000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Home office, Posgrados, Préstamos	No recibo bono	3 o más ajustes	30	Septiembre	No	Bejerman	Recursos Humanos	No	0%	3	No,  pero escucho ofertas	Bono	No recuerdo. 	Servicio	No	De acuerdo	10%	En desacuerdo	No tengo ninguna discapacidad	No	No	Voy rotando entre la oficina y el teletrabajo	Mixto	Noviembre 2021	De la empresa	2 días	Presencial	Algo satisfecho	3															
25/10/2021 17:29:40	Mujer cis	25 - 30	Universitario en curso	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Tecnologías de información	1 - 50	Multinacional	1	Coordinadora	Indeterminado	Full time	Generalista	0	4	0	4	175000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Reintegro en electricidad, Reintegros en capacitación	No recibo bono	2 ajustes	55	Agosto	No	No tenemos sistema de gestión	Recursos Humanos	No	30%	4	No,  pero escucho ofertas	Co-working pago (estamos haciendo 100% HO), envío de snacks saludables, viernes flex		Vocación	No	Totalmente de acuerdo	40%	Totalmente de acuerdo	No tengo ninguna discapacidad	Si	No	Si	En evaluación	No esta definido	No aplica	No aplica	Teletrabajo	No aplica / Prefiero no responder	4															
25/10/2021 17:33:45	Mujer cis	25 - 30	Universitario en curso	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Tecnologías de información	51 - 100	Nacional	2	HRBP	Indeterminado	Full time	Generalista	0	0	0	3	90000	Medicina prepaga / Plan de salud, Licencias extendidas, Home office, Idiomas, Descuentos en instituciones educativas 	No recibo bono	No tuve ajustes	40	Septiembre	No	No tenemos sistema de gestión	Talento Humano	No	0%	4	No,  pero escucho ofertas	Viernes flex, más días de licencia 	No lo sé 		No	De acuerdo	40%	De acuerdo	No tengo ninguna discapacidad	No	Si	Si	Mixto	No esta definido	De común acuerdo	A elección de cada empleado	Teletrabajo	Algo satisfecho	4															
29/10/2021 13:59:14	Hombre cis	25 - 30	Diplomado de posgrado en curso	Ingeniería Comercial	Universidad Pública	Chile		Relación de Dependencia	Transporte (incluyendo aviación civil, ferrocarriles por carretera)	2.501 - 5.000	Nacional	140	Jefe	Indeterminado	Full time	People analytics	2	3	3	3	1515209	Medicina prepaga / Plan de salud, Horarios flexibles, Abono de internet, Comedor / Almuerzos, Gimnasio, Home office, Préstamos	Dos sueldos	1 solo	0.03	Junio	No	SAP / SuccessFactors	Gerencia de Personas	No	0%	5	No,  pero escucho ofertas	Dias de descanso adicional a las vacaciones	Esta (sé que es encuesta, pero dale que aplica igual)	Oportunidades	No	En desacuerdo	20%	De acuerdo	No tengo ninguna discapacidad	Si	No	Voy rotando entre la oficina y el teletrabajo	Mixto	Enero 2022	De la empresa	3 días	No hubo ingresos	Muy satisfecho	5															
25/10/2021 18:44:09	Hombre cis	25 - 30	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Tecnologías de información	1 - 50	Nacional	2	Gerente	Indeterminado	Full time	Diseño organizacional	1	0	0	9	350000	Medicina prepaga / Plan de salud, Abono de internet, Home office, Reintegros en capacitación	No recibo bono	No tuve ajustes	0		Si, en emprendimiento relacionado con RRHH	Microsoft Dynamics	People	Si	40%	4	No,  pero escucho ofertas	Bonificación por logro de objetivos	Si fueses un extraterrestre, ¿de que planeta vendría y como saludaría?	Estrategia	No	Totalmente de acuerdo	10%	De acuerdo	No tengo ninguna discapacidad	No	No	Si	Remoto 100%	No aplica	De la empresa	A elección de cada empleado	Teletrabajo	No aplica / Prefiero no responder	5															
25/10/2021 18:54:18	Hombre cis	25 - 30	Universitario en curso	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Buenos Aires	Freelance																																												Monotributista	2	Casa	Si	PayPal	Si, frecuentemente	Si	No						Capacitación	1000
25/10/2021 19:01:39	Mujer cis	25 - 30	Universitario en curso	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Transporte (incluyendo aviación civil, ferrocarriles por carretera)	51 - 100	Nacional	4	Analista	Indeterminado	Full time	Administración de personal	0	0	0	4	70000	Home office, Idiomas	No recibo bono	1 solo	10	Septiembre	No	No tenemos sistema de gestión	Recursos Humanos	No	0%	3	Sí, activamente	Mayor sueldo, prepaga y descuento en comida 	No recuerdo 	Receptor 	Si	Totalmente en desacuerdo	70%	Totalmente de acuerdo	No tengo ninguna discapacidad	No	No																							
25/10/2021 19:18:26	Mujer cis	36 - 40	Diplomado de posgrado completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Corrientes	Relación de Dependencia	Otros	51 - 100	Nacional	1	Responsable	Indeterminado	Full time	Generalista	0	10	3	17	150000	Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Abono de internet, Charter / Servicio de transporte, Combustible, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office	No recibo bono	2 ajustes	32	Septiembre	Si, en emprendimiento no relacionado con RRHH	Meta4	Recursos Humanos	No	0%	5	No,  pero escucho ofertas			Liderar	No	Totalmente de acuerdo	30%	En desacuerdo	No tengo ninguna discapacidad	Si	No	Voy rotando entre la oficina y el teletrabajo	Mixto	Ya volvimos 100%	De la empresa	1 día	Presencial	Muy satisfecho	5															
25/10/2021 19:18:48	Mujer cis	31 - 35	Universitario completo	Psicología	Universidad Pública	Argentina	Buenos Aires	Freelance																																												No estoy registrada por el momento 	1	Casa	No	-	No	Si	Si	Si	Si	20	Remuneración mensual del ingresante	3 meses		
25/10/2021 19:47:44	Hombre cis	25 - 30	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Tecnologías de información	51 - 100	Nacional	8	Analista	Indeterminado	Full time	Compensaciones y beneficios	0	0	1	6	140000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Abono de celular, Abono de internet, Combustible, Equipamiento ergonómico de teletrabajo	No recibo bono	1 solo	40	Octubre	No	Zoho	Capital Humano	No	0%	4	No,  pero escucho ofertas	Sueldo 14 por permanencia	-	Experiencia	No	Totalmente de acuerdo	40%	En desacuerdo	No tengo ninguna discapacidad	No	No	Voy rotando entre la oficina y el teletrabajo	En evaluación	No esta definido	De la empresa	4 días	Mixta	Algo insatisfecho	4															
25/10/2021 20:35:44	Hombre cis	31 - 35	Diplomado de posgrado en curso	Administración de Empresas	Universidad Privada	Argentina	Neuquén	Relación de Dependencia	Hotelería, restauración, turismo	101 - 250	Nacional	1	Responsable	Indeterminado	Full time	Generalista	0	0	0	10	138600	Horarios flexibles, Charter / Servicio de transporte, Comedor / Almuerzos, Frutas y snacks	No recibo bono	2 ajustes	25	Septiembre	Si, en emprendimiento no relacionado con RRHH	HC Work	Recursos Humanos	No	0%	3	No,  pero escucho ofertas	Home Office	No recuerdo	Apoyo	Si	Totalmente de acuerdo	40%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	No	No	No	Presencial 100%	Ya volvimos 100%	No aplica	No aplica	Presencial	Algo insatisfecho	3															
25/10/2021 20:36:12	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Tecnologías de información	101 - 250	Nacional	7	Jefe	Indeterminado	Full time	Generalista	6	4	1	15	200000	Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Abono de internet, Home office	Menos de un sueldo	2 ajustes	50	Octubre	No	No tenemos sistema de gestión																																						
25/10/2021 20:37:14	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Función pública	101 - 250	Nacional	6	Jefe	Indeterminado	Full time	Generalista	3	10	1	14	207.000	Medicina prepaga / Plan de salud, Vacaciones extendidas, Licencias extendidas, Home office, Reintegro impuesto a las ganancias, días de trámite personal sin justificación, jornada especial post reincorporación maternidad, licencias de cuidados familiares	No recibo bono	3 o más ajustes	40	Septiembre	Si, en proyectos ad honorem	Bejerman	Recursos Humanos	No		3	No,  pero escucho ofertas	Bono, refrigerios, esparcimiento		Personas	No	De acuerdo	30%	Totalmente de acuerdo	No tengo ninguna discapacidad	No	No	Si	Mixto	Noviembre 2021	De la empresa	3 días	Mixta	Algo satisfecho	3															
25/10/2021 20:45:06	Mujer cis	31 - 35	Universitario completo	Psicología	Universidad Pública	Argentina	Santa Fe	Relación de Dependencia	Servicios de salud	501 - 1.000	Nacional	5	Analista	Plazo Fijo	Full time	Capacitación y desarrollo	0	3	3	9	140.000	Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Home office, Reintegro en electricidad	No recibo bono	2 ajustes	35	Agosto	No	Visma	Desarrollo humano	No	0%	4	No estoy buscando cambiar	Pago de idiomas	Que guardo en la mesita de luz		No	De acuerdo	40%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	No	No	Si	Mixto	Marzo 2022 en adelante	De la empresa	5 días	Mixta	Algo insatisfecho	4															
25/10/2021 21:25:07	Hombre cis	51 - 55	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Buenos Aires	Freelance																																												Contractor	1	oficina	No	no	No	Si	Si	No	No	1	Remuneración mensual del ingresante	No ofrezco garantía		
25/10/2021 22:49:10	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Comercio	1.001 - 2.500	Multinacional	4	HRBP	Indeterminado	Full time	Generalista	2	6	3	7	130000	Medicina prepaga / Plan de salud	Dos sueldos	1 solo	25	Mayo	No	SAP / SuccessFactors	Gestión Humana	No	0%	4	No,  pero escucho ofertas	Dias extras de vacaciones	N/A	Servicio	No	Totalmente de acuerdo	60%	En desacuerdo	No tengo ninguna discapacidad	Si	No	No	Presencial 100%	Ya volvimos 100%	De la empresa	No aplica	No hubo ingresos	Algo satisfecho	5															
25/10/2021 22:56:55	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Otros	101 - 250	Nacional	3	Analista	Indeterminado	Full time	Capacitación y desarrollo	0	5	1	1	94000	Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Home office	No recibo bono	No tuve ajustes	30	Noviembre	No	No tenemos sistema de gestión	Recursos Humanos	No	10%	3	No,  pero escucho ofertas																																	
25/10/2021 23:29:33	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Buenos Aires	Relación de Dependencia	Industria metalúrgica, metalmecánica	101 - 250	Multinacional	2	Analista	Indeterminado	Full time	Administración de personal	0	1	1	9	78000	Medicina prepaga / Plan de salud, Comedor / Almuerzos, Seguro de vida (adicionales a los de ley)	No recibo bono	1 solo	24	Abril	No	No tenemos sistema de gestión	Recursos Humanos	Si	10%	1	No,  pero escucho ofertas	Flexibilidad, capacitaciones, motivación	Por qué no estaba en pareja	Incomprensión	No	En desacuerdo	20%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	Si	No	No	Presencial 100%	Ya volvimos 100%	No aplica	No aplica	Presencial	No aplica / Prefiero no responder	3															
26/10/2021 1:58:53	Mujer cis	36 - 40	Diplomado de posgrado completo	Administración de Empresas	Universidad Privada	Argentina	Santa Cruz	Relación de Dependencia	Minería	1.001 - 2.500	Multinacional	79	Jefe	Indeterminado	Full time	Servicios Generales	40	6	5	5	385000	Medicina prepaga / Plan de salud, Horarios flexibles, Charter / Servicio de transporte, Frutas y snacks, Gimnasio, Posgrados, Préstamos	Dos sueldos	2 ajustes	45	Julio	No	SAP / SuccessFactors	Recursos Humanos	No	20%	3	No,  pero escucho ofertas	Estar mas cerca de casa/home office		Servicio	No	De acuerdo	20%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	Si	No	No	Mixto	Enero 2022	De común acuerdo	5 días	Presencial	No aplica / Prefiero no responder	5															
26/10/2021 7:34:10	Mujer cis	31 - 35	Diplomado de posgrado completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Córdoba	Relación de Dependencia	Tecnologías de información	101 - 250	Nacional	4	HRBP	Monotributista	Full time	Generalista	0	3	2	4	91445	Medicina prepaga / Plan de salud, Horarios flexibles, Gimnasio, Home office	No recibo bono	3 o más ajustes	46	Noviembre	No	Tango	Capital Humano	No		4	No,  pero escucho ofertas			Acompañantes	No	Totalmente de acuerdo	80%	De acuerdo	No tengo ninguna discapacidad	No	No																							
