Conference	Year	Paper Title	Paper DOI	Link	First page	Last page	Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)	Abstract	Author Names	Author Affiliation	References	Author Keywords	Experimental: OCRd Author Affiliations
InfoVis	2006	IPSep-CoLa: An Incremental Procedure for Separation Constraint Layout of Graphs	10.1109/TVCG.2006.156	http://dx.doi.org/10.1109/TVCG.2006.156	821	828	J	Existing information-visualization techniques that target small screens are usually limited to exploring a few hundred items. In this article we present a scatterplot tool for personal digital assistants that allows the handling of many thousands of items. The application's scalability is achieved by incorporating two alternative interaction techniques: a geometric-semantic zoom that provides smooth transition between overview and detail, and a fisheye distortion that displays the focus and context regions of the scatterplot in a single view. A user study with 24 participants was conducted to compare the usability and efficiency of both techniques when searching a book database containing 7500 items. The study was run on a pen-driven Wacom board simulating a PDA interface. While the results showed no significant difference in task-completion times, a clear majority of 20 users preferred the fisheye view over the zoom interaction. In addition, other dependent variables such as user satisfaction and subjective rating of orientation and navigation support revealed a preference for the fisheye distortion. These findings partly contradict related research and indicate that, when using a small screen, users place higher value on the ability to preserve navigational context than they do on the ease of use of a simplistic, metaphor-based interaction style	Tim Dwyer;Yehuda Koren;Kim Marriott	Konstanz Univ.|c|;;	10.1109/INFVIS.2005.1532130	Graph drawing, constraints, stress majorization, force directed algorithms,multidimensional scaling	
InfoVis	2006	MatrixExplorer: a Dual-Representation System to Explore Social Networks	10.1109/TVCG.2006.160	http://dx.doi.org/10.1109/TVCG.2006.160	677	684	J	MatrixExplorer is a network visualization system that uses two representations: node-link diagrams and matrices. Its design comes from a list of requirements formalized after several interviews and a participatory design session conducted with social science researchers. Although matrices are commonly used in social networks analysis, very few systems support the matrix-based representations to visualize and analyze networks. MatrixExplorer provides several novel features to support the exploration of social networks with a matrix-based representation, in addition to the standard interactive filtering and clustering functions. It provides tools to reorder (layout) matrices, to annotate and compare findings across different layouts and find consensus among several clusterings. MatrixExplorer also supports node-link diagram views which are familiar to most users and remain a convenient way to publish or communicate exploration results. Matrix and node-link representations are kept synchronized at all stages of the exploration process	Nathalie Henry Riche;Jean-Daniel Fekete	LRI|c|;	10.1109/INFVIS.2004.64	social networks visualization, node-link diagrams, matrix-based representations, exploratory process, matrix ordering, interactive clustering, consensus	
InfoVis	2006	Measuring Data Abstraction Quality in Multiresolution Visualizations	10.1109/TVCG.2006.161	http://dx.doi.org/10.1109/TVCG.2006.161	709	716	J	Data abstraction techniques are widely used in multiresolution visualization systems to reduce visual clutter and facilitate analysis from overview to detail. However, analysts are usually unaware of how well the abstracted data represent the original dataset, which can impact the reliability of results gleaned from the abstractions. In this paper, we define two data abstraction quality measures for computing the degree to which the abstraction conveys the original dataset: the histogram difference measure and the nearest neighbor measure. They have been integrated within XmdvTool, a public-domain multiresolution visualization system for multivariate data analysis that supports sampling as well as clustering to simplify data. Several interactive operations are provided, including adjusting the data abstraction level, changing selected regions, and setting the acceptable data abstraction quality level. Conducting these operations, analysts can select an optimal data abstraction level. Also, analysts can compare different abstraction methods using the measures to see how well relative data density and outliers are maintained, and then select an abstraction method that meets the requirement of their analytic tasks	Qingguang Cui;Matthew O. Ward;Elke A. Rundensteiner;Jing Yang 0001	Worcester Polytech. Inst., MA|c|;;;	10.1109/INFVIS.2004.19;10.1109/VISUAL.2005.1532819;10.1109/INFVIS.2004.15;10.1109/VISUAL.1995.485139;10.1109/INFVIS.2000.885088	Metrics, Clustering, Sampling, Multiresolution Visualization	
InfoVis	2006	Multi-Scale Banking to 45 Degrees	10.1109/TVCG.2006.163	http://dx.doi.org/10.1109/TVCG.2006.163	701	708	J	In his text Visualizing Data, William Cleveland demonstrates how the aspect ratio of a line chart can affect an analyst's perception of trends in the data. Cleveland proposes an optimization technique for computing the aspect ratio such that the average absolute orientation of line segments in the chart is equal to 45 degrees. This technique, called banking to 45deg, is designed to maximize the discriminability of the orientations of the line segments in the chart. In this paper, we revisit this classic result and describe two new extensions. First, we propose alternate optimization criteria designed to further improve the visual perception of line segment orientations. Second, we develop multi-scale banking, a technique that combines spectral analysis with banking to 45deg. Our technique automatically identifies trends at various frequency scales and then generates a banked chart for each of these scales. We demonstrate the utility of our techniques in a range of visualization tools and analysis examples	Jeffrey Heer;Maneesh Agrawala	Comput. Sci. Div., California Univ., Berkeley, CA|c|;		Information visualization, banking to 45 degrees, line charts, time-series, sparklines, graphical perception	
InfoVis	2006	Network Visualization by Semantic Substrates	10.1109/TVCG.2006.166	http://dx.doi.org/10.1109/TVCG.2006.166	733	740	J	Networks have remained a challenge for information visualization designers because of the complex issues of node and link layout coupled with the rich set of tasks that users present. This paper offers a strategy based on two principles: (1) layouts are based on user-defined semantic substrates, which are non-overlapping regions in which node placement is based on node attributes, (2) users interactively adjust sliders to control link visibility to limit clutter and thus ensure comprehensibility of source and destination. Scalability is further facilitated by user control of which nodes are visible. We illustrate our semantic substrates approach as implemented in NVSS 1.0 with legal precedent data for up to 1122 court cases in three regions with 7645 legal citations	Ben Shneiderman;Aleks Aris	Dept. of Comput. Sci., Maryland Univ., College Park, MD|c|;	10.1109/INFVIS.2004.1;10.1109/INFVIS.2005.1532124;10.1109/INFVIS.2005.1532126	Network visualization, semantic substrate, information visualization, graphical user interfaces	
InfoVis	2006	Smashing Peacocks Further: Drawing Quasi-Trees from Biconnected Components	10.1109/TVCG.2006.177	http://dx.doi.org/10.1109/TVCG.2006.177	813	820	J	Quasi-trees, namely graphs with tree-like structure, appear in many application domains, including bioinformatics and computer networks. Our new SPF approach exploits the structure of these graphs with a two-level approach to drawing, where the graph is decomposed into a tree of biconnected components. The low-level biconnected components are drawn with a force-directed approach that uses a spanning tree skeleton as a starting point for the layout. The higher-level structure of the graph is a true tree with meta-nodes of variable size that contain each biconnected component. That tree is drawn with a new area-aware variant of a tree drawing algorithm that handles high-degree nodes gracefully, at the cost of allowing edge-node overlaps. SPF performs an order of magnitude faster than the best previous approaches, while producing drawings of commensurate or improved quality.	Daniel Archambault;Tamara Munzner;David Auber	University of British Columbia|c|;;	10.1109/INFVIS.1997.636718	Graph and network visualization, quasi-tree	
InfoVis	2006	Software Design Patterns for Information Visualization	10.1109/TVCG.2006.178	http://dx.doi.org/10.1109/TVCG.2006.178	853	860	J	Despite a diversity of software architectures supporting information visualization, it is often difficult to identify, evaluate, and re-apply the design solutions implemented within such frameworks. One popular and effective approach for addressing such difficulties is to capture successful solutions in design patterns, abstract descriptions of interacting software components that can be customized to solve design problems within a particular context. Based upon a review of existing frameworks and our own experiences building visualization software, we present a series of design patterns for the domain of information visualization. We discuss the structure, context of use, and interrelations of patterns spanning data representation, graphics, and interaction. By representing design knowledge in a reusable form, these patterns can be used to facilitate software design, implementation, and evaluation, and improve developer education and communication	Jeffrey Heer;Maneesh Agrawala	Comput. Sci. Div., California Univ., Berkeley, CA|c|;	10.1109/INFVIS.1998.729560;10.1109/INFVIS.2002.1173141;10.1109/INFVIS.2003.1249007;10.1109/INFVIS.2000.885086;10.1109/INFVIS.2004.12;10.1109/INFVIS.2004.64	Design patterns, information visualization, software engineering, object-oriented programming	
InfoVis	2006	Spatial Analysis of News Sources	10.1109/TVCG.2006.179	http://dx.doi.org/10.1109/TVCG.2006.179	765	772	J	People in different places talk about different things. This interest distribution is reflected by the newspaper articles circulated in a particular area. We use data from our large-scale newspaper analysis system (Lydia) to make entity datamaps, a spatial visualization of the interest in a given named entity. Our goal is to identify entities which display regional biases. We develop a model of estimating the frequency of reference of an entity in any given city from the reference frequency centered in surrounding cities, and techniques for evaluating the spatial significance of this distribution	Andrew Mehler;Yunfan Bao;Xin Li 0003;Yue Wang;Steven Skiena	Dept. of Comput. Sci., Stony Brook Univ.|c|;;;;		GIS, geographic visualization, text and document visualization, information analytics, WWW data visualization, spidering, newspapers	
InfoVis	2006	The Perceptual Scalability of Visualization	10.1109/TVCG.2006.184	http://dx.doi.org/10.1109/TVCG.2006.184	837	844	J	Larger, higher resolution displays can be used to increase the scalability of information visualizations. But just how much can scalability increase using larger displays before hitting human perceptual or cognitive limits? Are the same visualization techniques that are good on a single monitor also the techniques that are best when they are scaled up using large, high-resolution displays? To answer these questions we performed a controlled experiment on user performance time, accuracy, and subjective workload when scaling up data quantity with different space-time-attribute visualizations using a large, tiled display. Twelve college students used small multiples, embedded bar matrices, and embedded time-series graphs either on a 2 megapixel (Mp) display or with data scaled up using a 32 Mp tiled display. Participants performed various overview and detail tasks on geospatially-referenced multidimensional time-series data. Results showed that current designs are perceptually scalable because they result in a decrease in task completion time when normalized per number of data attributes along with no decrease in accuracy. It appears that, for the visualizations selected for this study, the relative comparison between designs is generally consistent between display sizes. However, results also suggest that encoding is more important on a smaller display while spatial grouping is more important on a larger display. Some suggestions for designers are provided based on our experience designing visualizations for large displays.	Beth Yost;Chris North	IEEE|c|;	10.1109/INFVIS.2002.1173156	Information visualization, large displays, empirical evaluation	
InfoVis	2006	Topographic Visualization of Prefix Propagation in the Internet	10.1109/TVCG.2006.185	http://dx.doi.org/10.1109/TVCG.2006.185	725	732	J	We propose a new metaphor for the visualization of prefixes propagation in the Internet. Such a metaphor is based on the concept of topographic map and allows to put in evidence the relative importance of the Internet Service Providers (ISPs) involved in the routing of the prefix. Based on the new metaphor we propose an algorithm for computing layouts and experiment with such algorithm on a test suite taken from the real Internet. The paper extends the visualization approach of the BGPlay service, which is an Internet routing monitoring tool widely used by ISP operators	Pier Francesco Cortese;Giuseppe Di Battista;Antonello Moneta;Maurizio Patrignani;Maurizio Pizzonia	Dipt. di Informatica e Automazione, Rome Univ.|c|;;;;	10.1109/INFVIS.2004.18;10.1109/INFVIS.2001.963279;10.1109/INFVIS.2002.1173160	Interdomain Routing, Internet Visualization, Graph Drawing, Spring Embedder	
InfoVis	2006	User Interaction with Scatterplots on Small Screens - A Comparative Evaluation of Geometric-Semantic Zoom and Fisheye Distortion	10.1109/TVCG.2006.187	http://dx.doi.org/10.1109/TVCG.2006.187	829	836	J	Existing information-visualization techniques that target small screens are usually limited to exploring a few hundred items. In this article we present a scatterplot tool for Personal Digital Assistants that allows the handling of many thousands of items. The application's scalability is achieved by incorporating two alternative interaction techniques: a geometric-semantic zoom that provides smooth transition between overview and detail, and a fisheye distortion that displays the focus and context regions of the scatterplot in a single view. A user study with 24 participants was conducted to compare the usability and efficiency of both techniques when searching a book database containing 7500 items. The study was run on a pen-driven Wacom board simulating a PDA interface. While the results showed no significant difference in task-completion times, a clear majority of 20 users preferred the fisheye view over the zoom interaction. In addition, other dependent variables such as user satisfaction and subjective rating of orientation and navigation support revealed a preference for the fisheye distortion. These findings partly contradict related research and indicate that, when using a small screen, users place higher value on the ability to preserve navigational context than they do on the ease of use of a simplistic, metaphor-based interaction style. 	Thorsten Büring;Jens Gerken;Harald Reiterer	University of Konstanz, Germany	10.1109/INFVIS.1999.801854;10.1109/INFVIS.2002.1173156	Small screen, PDA, scatterplot, zoom, fisheye, focus+context	
InfoVis	2006	Visual Analysis of Multivariate State Transition Graphs	10.1109/TVCG.2006.192	http://dx.doi.org/10.1109/TVCG.2006.192	685	692	J	We present a new approach for the visual analysis of state transition graphs. We deal with multivariate graphs where a number of attributes are associated with every node. Our method provides an interactive attribute-based clustering facility. Clustering results in metric, hierarchical and relational data, represented in a single visualization. To visualize hierarchically structured quantitative data, we introduce a novel technique: the bar tree. We combine this with a node-link diagram to visualize the hierarchy and an arc diagram to visualize relational data. Our method enables the user to gain significant insight into large state transition graphs containing tens of thousands of nodes. We illustrate the effectiveness of our approach by applying it to a real-world use case. The graph we consider models the behavior of an industrial wafer stepper and contains 55 043 nodes and 289 443 edges	A. Johannes Pretorius;Jarke J. van Wijk	Dept. of Math. & Comput. Sci., Technische Univ. Eindhoven|c|;	10.1109/INFVIS.2002.1173153;10.1109/INFVIS.2002.1173155;10.1109/VISUAL.1991.175796;10.1109/VISUAL.2002.1183778;10.1109/INFVIS.2003.1249028	Graph visualization, multivariate visualization, interactive clustering, state spaces, transition systems, finite state machines	
InfoVis	2006	Visual Exploration of Complex Time-Varying Graphs	10.1109/TVCG.2006.193	http://dx.doi.org/10.1109/TVCG.2006.193	805	812	J	Many graph drawing and visualization algorithms, such as force-directed layout and line-dot rendering, work very well on relatively small and sparse graphs. However, they often produce extremely tangled results and exhibit impractical running times for highly non-planar graphs with large edge density. And very few graph layout algorithms support dynamic time-varying graphs; applying them independently to each frame produces distracting temporally incoherent visualizations. We have developed a new visualization technique based on a novel approach to hierarchically structuring dense graphs via stratification. Using this structure, we formulate a hierarchical force-directed layout algorithm that is both efficient and produces quality graph layouts. The stratification of the graph also allows us to present views of the data that abstract away many small details of its structure. Rather than displaying all edges and nodes at once, resulting in a convoluted rendering, we present an interactive tool that filters edges and nodes using the graph hierarchy and allows users to drill down into the graph for details. Our layout algorithm also accommodates time-varying graphs in a natural way,  producing a temporally coherent animation that can be used to analyze and extract trends from dynamic graph data. For example, we demonstrate the use of our method to explore financial correlation data for the U.S. stock market in the period from 1990 to 2005. The user can easily analyze the time-varying correlation graph of the market, uncovering information such as market sector trends, representative stocks for portfolio construction, and the interrelationship of stocks over time.	Gautam Kumar;Michael Garland	British Columbia Univ., Vancouver, BC|c|;;	10.1109/INFVIS.2004.43;10.1109/INFVIS.2004.66	Graph and network visualization, financial data visualization, hierarchy visualization, time series data	
InfoVis	2006	Visualization of Barrier Tree Sequences	10.1109/TVCG.2006.196	http://dx.doi.org/10.1109/TVCG.2006.196	781	788	J	Dynamical models that explain the formation of spatial structures of RNA molecules have reached a complexity that requires novel visualization methods that help to analyze the validity of these models. We focus on the visualization of so-called folding landscapes of a growing RNA molecule. Folding landscapes describe the energy of a molecule as a function of its spatial configuration; thus they are huge and high dimensional. Their most salient features, however, are encapsulated by their so-called barrier tree that reflects the local minima and their connecting saddle points. For each length of the growing RNA chain there exists a folding landscape. We visualize the sequence of folding landscapes by an animation of the corresponding barrier trees. To generate the animation, we adapt the foresight layout with tolerance algorithm for general dynamic graph layout problems. Since it is very general, we give a detailed description of each phase: constructing a supergraph for the trees, layout of that supergraph using a modified DOT algorithm, and presentation techniques for the final animation	Christian Heine 0002;Gerik Scheuermann;Christoph Flamm;Ivo L. Hofacker;Peter F. Stadler	Dept. of Comput. Sci., Leipzig Univ.|c|;;;;	10.1109/INFVIS.2004.18	Graph drawing, dynamic graph, RNA folding, energy landscape, fitness landscape, barrier tree	
InfoVis	2006	Visualization of Geo-spatial Point Sets via Global Shape Transformation and Local Pixel Placement	10.1109/TVCG.2006.198	http://dx.doi.org/10.1109/TVCG.2006.198	749	756	J	In many applications, data is collected and indexed by geo-spatial location. Discovering interesting patterns through visualization is an important way of gaining insight about such data. A previously proposed approach is to apply local placement functions such as PixelMaps that transform the input data set into a solution set that preserves certain constraints while making interesting patterns more obvious and avoid data loss from overplotting. In experience, this family of spatial transformations can reveal fine structures in large point sets, but it is sometimes difficult to relate those structures to basic geographic features such as cities and regional boundaries. Recent information visualization research has addressed other types of transformation functions that make spatially-transformed maps with recognizable shapes. These types of spatial-transformation are called global shape functions. In particular, cartogram-based map distortion has been studied. On the other hand, cartogram-based distortion does not handle point sets readily. In this study, we present a framework that allows the user to specify a global shape function and a local placement function. We combine cartogram-based layout (global shape) with PixelMaps (local placement), obtaining some of the benefits of each toward improved exploration of dense geo-spatial data sets	Christian Panse;Mike Sips;Daniel A. Keim;Stephen C. North	Eidgenossische Tech. Hochschule, Zurich|c|;;;	10.1109/VISUAL.1998.745303;10.1109/INFVIS.2004.57;10.1109/VISUAL.2003.1250410	Geo-spatial Data, Shape Transformation, Cartogram, Pixel Visualization	
InfoVis	2006	Visualizing Business Data with Generalized Treemaps	10.1109/TVCG.2006.200	http://dx.doi.org/10.1109/TVCG.2006.200	789	796	J	Business data is often presented using simple business graphics. These familiar visualizations are effective for providing overviews, but fall short for the presentation of large amounts of detailed information. Treemaps can provide such detail, but are often not easy to understand. We present how standard treemap algorithms can be adapted such that the results mimic familiar business graphics. Specifically, we present the use of different layout algorithms per level, a number of variations of the squarified algorithm, the use of variable borders, and the use of non-rectangular shapes. The combined use of these leads to histograms, pie charts and a variety of other styles	Roel Vliegen;Jarke J. van Wijk;Erik-Jan van der Linden	MagnaView|c|;;	10.1109/VISUAL.2005.1532781;10.1109/INFVIS.2001.963290;10.1109/VISUAL.1991.175815;10.1109/INFVIS.2005.1532125;10.1109/INFVIS.1999.801859	Information visualization, treemap, business graphics, hierarchical data	
InfoVis	2006	Worldmapper: The World as You've Never Seen it Before	10.1109/TVCG.2006.202	http://dx.doi.org/10.1109/TVCG.2006.202	757	764	J	This paper describes the Worldmapper project, which makes use of novel visualization techniques to represent a broad variety of social and economic data about the countries of the world. The goal of the project is to use the map projections known as cartograms to depict comparisons and relations between different territories, and its execution raises many interesting design challenges that were not all apparent at the outset. We discuss the approaches taken towards these challenges, some of which may have considerably broad application. We conclude by commenting on the positive initial response to the Worldmapper images published on the Web, which we believe is due, at least in part, to the particular effectiveness of the cartogram as a tool for communicating quantitative geographic data	Danny Dorling;Anna Barford;Mark Newman	Univ. of Sheffield|c|;;		Geographic Visualization, Computer Graphics, Worldmapper, Data Visualization, Social Visualization, Cartogram	
VAST	2006	Collaborative Visual Analytics: Inferring from the Spatial Organization and Collaborative Use of Information	10.1109/VAST.2006.261415	http://dx.doi.org/10.1109/VAST.2006.261415	137	144	C	We introduce a visual analytics environment for the support of remote-collaborative sense-making activities. Team members use their individual graphical interfaces to collect, organize and comprehend task-relevant information relative to their areas of expertise. A system of computational agents infers possible relationships among information items through the analysis of the spatial and temporal organization and collaborative use of information. The computational agents support the exchange of information among team members to converge their individual contributions. Our system allows users to navigate vast amounts of shared information effectively and remotely dispersed team members to work independently without diverting from common objectives as well as to minimize the necessary amount of verbal communication	Paul E. Keel	Comput. Sci. & Artificial Intelligence Lab., Massachusetts Inst. of Technol.|c|		Visual analytics, Spatial information organization, Indirect human computer interaction, Indirect collaboration, Agents, Sense-making	
VAST	2006	Beyond Usability: Evaluation Aspects of Visual Analytic Environments	10.1109/VAST.2006.261416	http://dx.doi.org/10.1109/VAST.2006.261416	145	150	C	A new field of research, visual analytics, has been introduced. This has been defined as "the science of analytical reasoning facilitated by interactive visual interfaces" (Thomas and Cook, 2005). Visual analytic environments, therefore, support analytical reasoning using visual representations and interactions, with data representations and transformation capabilities, to support production, presentation, and dissemination. As researchers begin to develop visual analytic environments, it is advantageous to develop metrics and methodologies to help researchers measure the progress of their work and understand the impact their work has on the users who work in such environments. This paper presents five areas or aspects of visual analytic environments that should be considered as metrics and methodologies for evaluation are developed. Evaluation aspects need to include usability, but it is necessary to go beyond basic usability. The areas of situation awareness, collaboration, interaction, creativity, and utility are proposed as the five evaluation areas for initial consideration. The steps that need to be undertaken to develop systematic evaluation methodologies and metrics for visual analytic environments are outlined	Jean Scholtz	Pacific Northwest Nat. Lab., Richland, WA|c|	10.1109/VISUAL.1990.146375;10.1109/INFVIS.2004.10;10.1109/INFVIS.1997.636794	visualization, analytic environments, metrics	
VAST	2006	Visualizing the Performance of Computational Linguistics Algorithms	10.1109/VAST.2006.261417	http://dx.doi.org/10.1109/VAST.2006.261417	151	157	C	We have built a visualization system and analysis portal for evaluating the performance of computational linguistics algorithms. Our system focuses on algorithms that classify and cluster documents by assigning weights to words and scoring each document against high dimensional reference concept vectors. The visualization and algorithm analysis techniques include confusion matrices, ROC curves, document visualizations showing word importance, and interactive reports. One of the unique aspects of our system is that the visualizations are thin-client Web-based components built using SVG visualization components	Stephen G. Eick;Justin Mauger;Alan Ratner	SSS Res., Inc., Naperville, IL|c|;;		AJAX, thin-client, SVG, ROC curves, confusion matrices, document categorization	
VAST	2006	Scentindex: Conceptually Reorganizing Subject Indexes for Reading	10.1109/VAST.2006.261418	http://dx.doi.org/10.1109/VAST.2006.261418	159	166	C	A great deal of analytical work is done in the context of reading, in digesting the semantics of the material, the identification of important entities, and capturing the relationship between entities. Visual analytic environments, therefore, must encompass reading tools that enable the rapid digestion of large amount of reading material. Other than plain text search, subject indexes, and basic highlighting, tools are needed for rapid foraging of text. In this paper, we describe a technique that presents an enhanced subject index for a book by conceptually reorganizing it to suit particular expressed user information needs. Users first enter information needs via keywords describing the concepts they are trying to retrieve and comprehend. Then our system, called ScentIndex, computes what index entries are conceptually related and reorganizes and displays these index entries on a single page. We also provide a number of navigational cues to help users peruse over this list of index entries and find relevant passages quickly. Compared to regular reading of a paper book, our study showed that users are more efficient and more accurate in finding, comparing, and comprehending material in our system	Ed Huai-hsin Chi;Lichan Hong;Julie Heiser;Stuart K. Card	Palo Alto Res. Center, CA|c|;;;		Book Index, eBooks, Information Scent, contextualization, personalized information access	
VAST	2006	VAST 2006 Contest - A Tale of Alderwood	10.1109/VAST.2006.261420	http://dx.doi.org/10.1109/VAST.2006.261420	215	216	M	Visual analytics experts realize that one effective way to push the field forward and to develop metrics for measuring the performance of various visual analytics components is to hold an annual competition. The first visual analytics science and technology (VAST) contest was held in conjunction with the 2006 IEEE VAST Symposium. The competition entailed the identification of possible political shenanigans in the fictitious town of Alderwood. A synthetic data set was made available as well as tasks. We summarize how we prepared and advertised the contest, developed some initial metrics for evaluation, and selected the winners. The winners were invited to participate at an additional live competition at the symposium to provide them with feedback from senior analysts	Georges G. Grinstein;Theresa A. O'Connell;Sharon J. Laskowski;Catherine Plaisant;Jean Scholtz;Mark A. Whiting	Univ. of Massachusetts Lowell, MA|c|;;;;;			
VAST	2006	A Visual Interface for Multivariate Temporal Data: Finding Patterns of Events across Multiple Histories	10.1109/VAST.2006.261421	http://dx.doi.org/10.1109/VAST.2006.261421	167	174	C	Finding patterns of events over time is important in searching patient histories, Web logs, news stories, and criminal activities. This paper presents PatternFinder, an integrated interface for query and result-set visualization for search and discovery of temporal patterns within multivariate and categorical data sets. We define temporal patterns as sequences of events with inter-event time spans. PatternFinder allows users to specify the attributes of events and time spans to produce powerful pattern queries that are difficult to express with other formalisms. We characterize the range of queries PatternFinder supports as users vary the specificity at which events and time spans are defined. Pattern Finder's query capabilities together with coupled ball-and-chain and tabular visualizations enable users to effectively query, explore and analyze event patterns both within and across data entities (e.g. patient histories, terrorist groups, Web logs, etc.)	Jerry Alan Fails;Amy K. Karlson;Layla Shahamat;Ben Shneiderman	Dept. of Comput. Sci., Maryland Univ.|c|;;;	10.1109/INFVIS.2001.963273	Temporal query, information visualization, user interface	
VAST	2006	User Interfaces for the Exploration of Hierarchical Multi-dimensional Data	10.1109/VAST.2006.261422	http://dx.doi.org/10.1109/VAST.2006.261422	175	182	C	A variety of user interfaces have been developed to support the querying of hierarchical multi-dimensional data in an OLAP setting such as pivot tables and Polaris. They are used to regularly check portions of a dataset and to explore a new dataset for the first time. In this paper, we establish criteria for OLAP user interface capabilities to facilitate comparison. Two criteria are the number of displayed dimensions along which comparisons can be made and the number of dimensions that are viewable at once - visual comparison depth and width. We argue that interfaces with greater visual comparison depth support regular checking of known data by users that know roughly where to look, while interfaces with greater comparison width support exploration of new data by users that have no a priori starting point and need to scan all dimensions. Pivot tables and Polaris are examples of the former. The main contribution of this paper is to introduce a new scalable interface that uses parallel dimension axis which supports the latter, greater visual comparison width. We compare our approach to both table based and parallel coordinate based interfaces. We present an implementation of our interface SGViewer, user scenarios and provide an evaluation that supports the usability of our interface	Mark Sifer	Sch. of Econ. & Inf. Syst., Wollongong Univ., NSW|c|	10.1109/INFVIS.2002.1173157;10.1109/INFVIS.2005.1532139	Data exploration, OLAP, visualization, parallel coordinates	
VAST	2006	Pixnostics: Towards Measuring the Value of Visualization	10.1109/VAST.2006.261423	http://dx.doi.org/10.1109/VAST.2006.261423	199	206	C	During the last two decades a wide variety of advanced methods for the visual exploration of large data sets have been proposed. For most of these techniques user interaction has become a crucial element, since there are many situations in which a user or an analyst has to select the right parameter settings from among many or select a subset of the available attribute space for the visualization process, in order to construct valuable visualizations that provide insight, into the data and reveal interesting patterns. The right choice of input parameters is often essential, since suboptimal parameter settings or the investigation of irrelevant data dimensions make the exploration process more time consuming and may result in wrong conclusions. In this paper we propose a novel method for automatically determining meaningful parameter- and attribute settings based on the information content of the resulting visualizations. Our technique called Pixnostics, in analogy to Scagnostics (Wilkinson et al., 2005), automatically analyses pixel images resulting from diverse parameter mappings and ranks them according to the potential value for the user. This allows a more effective and more efficient visual data analysis process, since the attribute/parameter space is reduced to meaningful selections and thus the analyst obtains faster insight into the data. Real world applications are provided to show the benefit of the proposed approach	Jörn Schneidewind;Mike Sips;Daniel A. Keim	Konstanz Univ.|c|;;	10.1109/INFVIS.2005.1532145;10.1109/INFVIS.2005.1532142;10.1109/VISUAL.2005.1532782;10.1109/VISUAL.2005.1532781;10.1109/INFVIS.2000.885092	Visual Data Exploration, Visualization technique, Visual Analytics	
VAST	2006	Exploratory Visualization of Multivariate Data with Variable Quality	10.1109/VAST.2006.261424	http://dx.doi.org/10.1109/VAST.2006.261424	183	190	C	Real-world data is known to be imperfect, suffering from various forms of defects such as sensor variability, estimation errors, uncertainty, human errors in data entry, and gaps in data gathering. Analysis conducted on variable quality data can lead to inaccurate or incorrect results. An effective visualization system must make users aware of the quality of their data by explicitly conveying not only the actual data content, but also its quality attributes. While some research has been conducted on visualizing uncertainty in spatio-temporal data and univariate data, little work has been reported on extending this capability into multivariate data visualization. In this paper we describe our approach to the problem of visually exploring multivariate data with variable quality. As a foundation, we propose a general approach to defining quality measures for tabular data, in which data may experience quality problems at three granularities: individual data values, complete records, and specific dimensions. We then present two approaches to visual mapping of quality information into display space. In particular, one solution embeds the quality measures as explicit values into the original dataset by regarding value quality and record quality as new data dimensions. The other solution is to superimpose the quality information within the data visualizations using additional visual variables. We also report on user studies conducted to assess alternate mappings of quality attributes to visual variables for the second method. In addition, we describe case studies that expose some of the advantages and disadvantages of these two approaches	Zaixian Xie;Shiping Huang;Matthew O. Ward;Elke A. Rundensteiner	Dept. of Comput. Sci., Worcester Polytech. Inst., MA|c|;;;	10.1109/VISUAL.2000.885679;10.1109/INFVIS.2002.1173145;10.1109/VISUAL.1995.485139;10.1109/INFVIS.2004.10	Uncertainty visualization, multivariate visualization, data quality	
VAST	2006	Semantic Image Browser: Bridging Information Visualization with Automated Intelligent Image Analysis	10.1109/VAST.2006.261425	http://dx.doi.org/10.1109/VAST.2006.261425	191	198	C	Browsing and retrieving images from large image collections are becoming common and important activities. Semantic image analysis techniques, which automatically detect high level semantic contents of images for annotation, are promising solutions toward this problem. However, few efforts have been made to convey the annotation results to users in an intuitive manner to enable effective image browsing and retrieval. There is also a lack of methods to monitor and evaluate the automatic image analysis algorithms due to the high dimensional nature of image data, features, and contents. In this paper, we propose a novel, scalable semantic image browser by applying existing information visualization techniques to semantic image analysis. This browser not only allows users to effectively browse and search in large image databases according to the semantic content of images, but also allows analysts to evaluate their annotation process through interactive visual exploration. The major visualization components of this browser are multi-dimensional scaling (MDS) based image layout, the value and relation (VaR) display that allows effective high dimensional visualization without dimension reduction, and a rich set of interaction tools such as search by sample images and content relationship detection. Our preliminary user study showed that the browser was easy to use and understand, and effective in supporting image browsing and retrieval tasks	Jing Yang 0001;Jianping Fan 0001;Daniel Hubball;Yuli Gao;Hangzai Luo;William Ribarsky;Matthew O. Ward	Dept. of Comput. Sci., Univ. of North Carolina at Charlotte, NC|c|;;;;;;	10.1109/INFVIS.1999.801855;10.1109/INFVIS.1995.528686;10.1109/INFVIS.2003.1249009;10.1109/VISUAL.1995.485140;10.1109/INFVIS.2004.71	Image retrieval, image layout, semantic image classification, multi-dimensional visualization, visual analytics	
