Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Award
InfoVis,2000,Interactive problem solving via algorithm visualization,10.1109/INFVIS.2000.885103,http://dx.doi.org/10.1109/INFVIS.2000.885103,145,153,C,"COMIND is a tool for conceptual design of industrial products. It helps designers define and evaluate the initial design space by using search algorithms to generate sets of feasible solutions. Two algorithm visualization techniques, Kaleidoscope and Lattice, and one visualization of n-dimensional data, MAP, are used to externalize the machine's problem solving strategies and the tradeoffs as a result of using these strategies. After a short training period, users are able to discover tactics to explore design space effectively, evaluate new design solutions, and learn important relationships among design criteria, search speed and solution quality. We thus propose that visualization can serve as a tool for interactive intelligence, ie., human-machine collaboration for solving complex problems.",Pearl Pu;Denis Lalanne,P. Pu;D. Lalanne,"Dept. of Comput. Sci., Swiss Federal Inst. of Technol., Lausanne, Switzerland",10.1109/INFVIS.1998.729557,,14,3,24,
InfoVis,2000,Metaphor-aware 3D navigation,10.1109/INFVIS.2000.885104,http://dx.doi.org/10.1109/INFVIS.2000.885104,155,165,C,"Anyone who has ever experienced three-dimensional (3D) interfaces will agree that navigating in a 3D world is not a trivial task. The user interface of traditional 3D browsers provides simple navigation tools that allow the user to modify the camera parameters such as orientation, position and focal. Using these tools, it is frequent that, after some movements, the user is lost in the virtual 3D space and usually tries to restart from the beginning. We present how the 3D navigation problem is addressed in the context of the CyberNet project (Abel et al., 2000). Our underlying principle is to help the user navigate by adapting the navigation tool to the virtual world. We feel that the navigation schemes provided by the 3D browsers are too generic for some specific 3D tools and we have developed adaptive navigation features that are dependent on the 3D metaphor used for visualizing the information and on the user's task.",Cristina Russo Dos Santos;Pascal Gros;Pierre Abel;Didier Loisel;N. Trichaud;J. P. Paris,C. Russo dos Santos;P. Gros;P. Abel;D. Loisel;N. Trichaud;J.P. Paris,"Eurecom Inst., Sophia Antipolis, France",10.1109/VISUAL.1997.663876,,31,10,14,
InfoVis,2000,"Creativity, complexity, and precision: information visualization for (landscape) architecture",10.1109/INFVIS.2000.885105,http://dx.doi.org/10.1109/INFVIS.2000.885105,167,171,C,"Drawing on ethnographic studies of (landscape) architects at work, this paper presents a human-centered approach to information visualization. A 3D collaborative electronic workspace allows people to configure, save and browse arrangements of heterogeneous work materials. Spatial arrangements and links are created and maintained as an integral part of ongoing work with 'live' documents and objects. The result is an extension of the physical information space of the architects' studio that utilizes the potential of electronic data storage, visualization and network technologies to support work with information in context.",Monika Büscher;Dan Shapiro;Michael Christensen 0002;Preben Holst Mogensen;Peter Ørbæk,M. Buscher;D. Shapiro;M. Christensen;P. Mogensen;P. Orbaek,"Dept. of Sociology, Lancaster Univ., UK",,"Information visualization, architecture,work materials, context,spatio-temporal order, electronic workspace ",11,2,11,
InfoVis,2001,To draw a tree,10.1109/INFVIS.2001.963272,http://dx.doi.org/10.1109/INFVIS.2001.963272,3,3,M,,Pat Hanrahan,P. Hanrahan,Stanford University,,,3,0,0,
InfoVis,2001,Visualizing time-series on spirals,10.1109/INFVIS.2001.963273,http://dx.doi.org/10.1109/INFVIS.2001.963273,7,13,C,,Marc Weber;Marc Alexa;Wolfgang Müller 0004,M. Weber;M. Alexa;W. Muller,Technische Universitat Darmstadt,10.1109/VISUAL.1991.175794;10.1109/INFVIS.2000.885098;10.1109/INFVIS.1995.528685,"Information Visualization, Graph Drawing, Visualization of Time-Series Data, Data Mining ",462,118,16,
InfoVis,2001,Change blindness in information visualization: a case study,10.1109/INFVIS.2001.963274,http://dx.doi.org/10.1109/INFVIS.2001.963274,15,22,C,,Lucy T. Nowell;Elizabeth G. Hetzler;Ted Tanasse,L. Nowell;E. Hetzler;T. Tanasse,Pacific Northwest National Laboratory,10.1109/INFVIS.1997.636789;10.1109/INFVIS.2000.885099;10.1109/INFVIS.1995.528692;10.1109/INFVIS.1995.528686;10.1109/INFVIS.1995.528691,,63,36,35,
InfoVis,2001,Cluster stability and the use of noise in interpretation of clustering,10.1109/INFVIS.2001.963275,http://dx.doi.org/10.1109/INFVIS.2001.963275,23,30,C,,George S. Davidson;Brian N. Wylie;Kevin W. Boyack,G.S. Davidson;B.N. Wylie;K.W. Boyack,Sandia National Laboratories,10.1109/INFVIS.1995.528686,,109,14,19,
InfoVis,2001,Technical note: visually encoding program test information to find faults in software,10.1109/INFVIS.2001.963277,http://dx.doi.org/10.1109/INFVIS.2001.963277,33,36,C,,James R. Eagan;Mary Jean Harrold;James A. Jones;John T. Stasko,J. Eagan;M.J. Harrold;J.A. Jones;J. Stasko,Georgia Institute of Technology Atlanta,,,31,6,5,
InfoVis,2001,Getting along: composition of visualization paradigms,10.1109/INFVIS.2001.963278,http://dx.doi.org/10.1109/INFVIS.2001.963278,37,40,C,,Alan Keahey,T.A. Keahey,"Visual Insights, Inc.",10.1109/INFVIS.1997.636786;10.1109/VISUAL.1992.235217;10.1109/VISUAL.1991.175815;10.1109/INFVIS.1997.636718;10.1109/INFVIS.1997.636784;10.1109/INFVIS.1996.559214;10.1109/INFVIS.1998.729558,,31,5,16,
InfoVis,2001,Animated exploration of dynamic graphs with radial layout,10.1109/INFVIS.2001.963279,http://dx.doi.org/10.1109/INFVIS.2001.963279,43,50,C,,Ka-Ping Yee;Danyel Fisher;Rachna Dhamija;Marti A. Hearst,Ka-Ping Yee;D. Fisher;R. Dhamija;M. Hearst,University of California,10.1109/INFVIS.1997.636718,"graph drawing, animation, interaction",379,6,22,
InfoVis,2001,Effective graph visualization via node grouping,10.1109/INFVIS.2001.963280,http://dx.doi.org/10.1109/INFVIS.2001.963280,51,58,C,,Janet M. Six;Ioannis G. Tollis,J.M. Six;I.G. Tollis,The University of Texas,,"Graph Drawing, Graph Visualization, Force-Directed Drawing, Orthogonal Drawing, Node Grouping, Experimental Studies",30,2,31,
InfoVis,2001,Visualization of state transition graphs,10.1109/INFVIS.2001.963281,http://dx.doi.org/10.1109/INFVIS.2001.963281,59,66,C,,Frank van Ham;Huub van de Wetering;Jarke J. van Wijk,F. van Ham;H. van de Wetering;J.J. van Wijk,Eindhoven University of Technology,10.1109/INFVIS.1995.528691;10.1109/INFVIS.1995.528689,,37,12,13,
InfoVis,2001,Graph sketches,10.1109/INFVIS.2001.963282,http://dx.doi.org/10.1109/INFVIS.2001.963282,67,70,C,,James Abello;Irene Finocchi;Jeffrey L. Korn,J. Abello;I. Finocchi;J. Korn,AT&T Labs-Research,10.1109/INFVIS.2000.885089,"visualization, massive data sets, graphs, hierarchies",15,8,13,
InfoVis,2001,Ordered treemap layouts,10.1109/INFVIS.2001.963283,http://dx.doi.org/10.1109/INFVIS.2001.963283,73,78,C,,Ben Shneiderman;Martin Wattenberg,B. Shneiderman;M. Wattenberg,University of Maryland,10.1109/VISUAL.1992.235217;10.1109/VISUAL.1991.175815,"treemaps, ordered treemaps, trees, hierarchies, information visualization ",340,97,11,TT
InfoVis,2001,Collapsible cylindrical trees: a fast hierarchical navigation technique,10.1109/INFVIS.2001.963284,http://dx.doi.org/10.1109/INFVIS.2001.963284,79,86,C,,Raimund Dachselt;Jürgen Ebert,R. Dachselt;J. Ebert,Dresden University of Technology,10.1109/INFVIS.1997.636718;10.1109/INFVIS.1995.528692;10.1109/VISUAL.1991.175815,"visualization, web navigation, hierarchy, interactive tree, sitemap, 3D graphics, VRML, XML",49,6,17,
InfoVis,2001,Botanical visualization of huge hierarchies,10.1109/INFVIS.2001.963285,http://dx.doi.org/10.1109/INFVIS.2001.963285,87,94,C,,Ernst Kleiberg;Huub van de Wetering;Jarke J. van Wijk,E. Kleiberg;H. van de Wetering;J.J. van Wijk,Eindhoven University of Technology,10.1109/INFVIS.1995.528689;10.1109/INFVIS.1999.801860,"botanical tree, logical tree, huge hierarchy, strands, tree visualization, directory tree, phyllotaxis",184,37,14,
InfoVis,2001,Semantic depth of field,10.1109/INFVIS.2001.963286,http://dx.doi.org/10.1109/INFVIS.2001.963286,97,104,C,,Robert Kosara;Silvia Miksch;Helwig Hauser,R. Kosara;S. Miksch;H. Hauser,Vienna University of Technology,10.1109/VISUAL.2000.885698;10.1109/INFVIS.2000.885088,"Depth of Field, Focus and Context, Information Visualization",189,35,26,
InfoVis,2001,Interactive visualization of multiple query results,10.1109/INFVIS.2001.963287,http://dx.doi.org/10.1109/INFVIS.2001.963287,105,112,C,,Susan L. Havre;Elizabeth G. Hetzler;Kenneth A. Perrine;Elizabeth Jurrus;Nancy Miller,S. Havre;E. Hetzler;K. Perrine;E. Jurrus;N. Miller,Battelle Pacific Northwest Division,10.1109/INFVIS.1998.729570;10.1109/VISUAL.1998.745302;10.1109/VISUAL.1993.398863,,107,27,15,
InfoVis,2001,Pixel bar charts: a new technique for visualizing large multi-attribute data sets without aggregation,10.1109/INFVIS.2001.963288,http://dx.doi.org/10.1109/INFVIS.2001.963288,113,120,C,,Daniel A. Keim;Ming C. Hao;Julian Ladisch;Meichun Hsu;Umeshwar Dayal,D. Keim;M.C. Hao;J. Ladisch;Meichun Hsu;U. Dayal,Hewlett Packard Research Laboratories,10.1109/VISUAL.1995.485140;10.1109/VISUAL.1993.398870;10.1109/INFVIS.1999.801867;10.1109/VISUAL.1991.175794;10.1109/VISUAL.1990.146387;10.1109/VISUAL.1990.146402;10.1109/INFVIS.1995.528690;10.1109/VISUAL.1990.146386,,77,17,19,
InfoVis,2001,An empirical comparison of three commercial information visualization systems,10.1109/INFVIS.2001.963289,http://dx.doi.org/10.1109/INFVIS.2001.963289,123,130,C,"An empirical comparison of three commercial information visualization systems on three different databases is presented. The systems use different paradigms for visualizing data. Tasks were selected to be ""ecologically relevant"", i.e. meaningful and interesting in the respec- tive domains. Users of one system turned out to solve problems significantly faster than users of the other two, while users of another system would supply significantly more correct answers. Reasons for these results and general observations about the studied systems are discussed.",Alfred Kobsa,A. Kobsa,University of California,10.1109/INFVIS.1995.528688,,119,39,13,
InfoVis,2001,A comparison of 2-D visualizations of hierarchies,10.1109/INFVIS.2001.963290,http://dx.doi.org/10.1109/INFVIS.2001.963290,131,138,C,,S. Todd Barlow;Padraic Neville,T. Barlow;P. Neville,SAS Institute Inc.,10.1109/INFVIS.1998.729557;10.1109/VISUAL.1992.235217,,89,46,8,
InfoVis,2001,"2D vs 3D, implications on spatial memory",10.1109/INFVIS.2001.963291,http://dx.doi.org/10.1109/INFVIS.2001.963291,139,145,C,"Since the introduction of graphical user interfaces (GUI) and two-dimensional (2D) displays, the concept of space has entered the information technology (IT) domain. Interactions with computers were re-encoded in terms of fidelity to the interactions with real environment and consequently in terms of fitness to cognitive and spatial abilities. A further step in this direction was the creation of three-dimensional (3D) displays which have amplified the fidelity of digital representations. However, there are no systematic results evaluating the extent to which 3D displays better support cognitive spatial abilities. The aim of this research is to empirically investigate spatial memory performance across different instances of 2D and 3D displays. Two experiments were performed. The displays used in the experimental situation represented hierarchical information structures. The results of the test show that the 3D display does improve performances in the designed spatial memory task.",Monica Tavanti;Mats Lind,M. Tavanti;M. Lind,University Sweden,,,101,53,11,
InfoVis,2001,Case study: visualization for decision tree analysis in data mining,10.1109/INFVIS.2001.963292,http://dx.doi.org/10.1109/INFVIS.2001.963292,149,152,C,,S. Todd Barlow;Padraic Neville,T. Barlow;P. Neville,SAS Institute Inc.,,,14,5,4,
InfoVis,2001,Case study: e-commerce clickstream visualization,10.1109/INFVIS.2001.963293,http://dx.doi.org/10.1109/INFVIS.2001.963293,153,156,C,,Jeffrey Brainerd;Barry G. Becker,J. Brainerd;B. Becker,Blue Martini Software,10.1109/INFVIS.1998.729554;10.1109/INFVIS.1997.636718;10.1109/INFVIS.1998.729553;10.1109/INFVIS.2000.885089;10.1109/INFVIS.2000.885090;10.1109/INFVIS.1995.528697;10.1109/INFVIS.1996.559226;10.1109/INFVIS.2000.885101,,21,7,17,
InfoVis,2001,Case study: design and assessment of an enhanced geographic information system for exploration of multivariate health statistics,10.1109/INFVIS.2001.963294,http://dx.doi.org/10.1109/INFVIS.2001.963294,159,162,C,,Robert M. Edsall;Alan M. MacEachren;Linda Pickle,R.M. Edsall;A.M. MacEachren;L. Pickle,Arizona State University,10.1109/INFVIS.1998.729563,,41,8,5,
InfoVis,2001,Graphic data display for cardiovascular system,10.1109/INFVIS.2001.963295,http://dx.doi.org/10.1109/INFVIS.2001.963295,163,166,C,,James Agutter;Noah Syroid;Frank Drews;Dwayne R. Westenskow;Julio C. Bermudez;David L. Strayer,J. Agutter;N. Syroid;F. Drews;D. Westenskow;J. Bermudez;D. Strayer,University of Utah,,,12,2,13,
InfoVis,2001,Battlespace visualization: a grand challenge,10.1109/INFVIS.2001.963296,http://dx.doi.org/10.1109/INFVIS.2001.963296,169,170,M,,Jeffrey L. Posdamer,J.L. Posdamer;J. Dantone;N. Gershon;J. Dale;T. Hamburger;W. Page,Sarnoff Corporation,,,4,0,0,
InfoVis,2002,"Internet traffic: visualization, discovery, and very large displays",10.1109/INFVIS.2002.1173140,http://dx.doi.org/10.1109/INFVIS.2002.1173140,3,4,M,"For a decade, the ruling common wisdom for Internet traffic held that it was everywhere bursty: over periods lasting tens of milliseconds to hundreds, the traffic was either much below its average rate or much above. In other words, the traffic was not smooth, not staying at all times close to its average. It was bursty on the cable running down a street, carrying the merged traffic of a small number of cable modem users in one section of a town. It was bursty on the core fiber of an Internet service provider, carrying the merged traffic of thousands of users from all over the country. The Internet was designed to accommodate the bursty traffic. The routers and switches that forward traffic from one place to the next were designed for burstiness, and Internet service providers allocated traffic loads on the devices based on an assumption of burstiness. Recently, it was discovered that the old common wisdom is not true. Visualization played a fundamental role in the discovery. The old wisdom held up for links with a small numbers of users. But as the number of users increases, the burstiness dissipates, and the traffic becomes smooth. Design of the high-load part of the Internet needs to be rethought. The old wisdom had persisted for high-load links because the databases of traffic measurements from them are immense, and the traffic measurements had not been studied in their fullest detail, which is necessary to see the smoothing. Visualization tools allowed the detail to be seen, and allowed the verification of a mathematical theory that predicts the smoothing. To see the detail, individual visual displays were created that take up an amount of virtual screen real estate measured in hundreds of pages. It is a simple idea: if you have a lot of data, and you want to see it in detail, you need a lot of space. What is needed now is a rich set of ideas and methods for navigating such very large displays.",William S. Cleveland,W.S. Cleveland,"Dept. Stat. Res., Bell Labs., Holmdel, NJ, USA",,,1,0,0,
InfoVis,2002,Multiscale visualization using data cubes,10.1109/INFVIS.2002.1173141,http://dx.doi.org/10.1109/INFVIS.2002.1173141,7,14,C,"Most analysts start with an overview of the data before gradually refining their view to be more focused and detailed. Multiscale pan-and-zoom systems are effective because they directly support this approach. However generating abstract overviews of large data sets is difficult, and most systems take advantage of only one type of abstraction: visual abstraction. Furthermore, these existing systems limit the analyst to a single zooming path on their data and thus a single set of abstract views. This paper presents: (1) a formalism for describing multiscale visualizations of data cubes with both data and visual abstraction, and (2) a method for independently zooming along one or more dimensions by traversing a zoom graph with nodes at different levels of detail. As an example of how to design multiscale visualizations using our system, we describe four design patterns using our formalism. These design patterns show the effectiveness of multiscale visualization of general relational databases.",Chris Stolte;Diane Tang;Pat Hanrahan,C. Stolte;D. Tang;P. Hanrahan,"Stanford Univ., CA, USA;Stanford Univ., CA, USA;Stanford Univ., CA, USA",10.1109/INFVIS.2000.885086,,188,12,21,BP
InfoVis,2002,Visualization schemas for flexible information visualization,10.1109/INFVIS.2002.1173142,http://dx.doi.org/10.1109/INFVIS.2002.1173142,15,22,C,"Relational databases provide significant flexibility to organize, store, and manipulate an infinite variety of complex data collections. This flexibility is enabled by the concept of relational data schemas, which allow data owners to easily design custom databases according to their unique needs. However, user interfaces and information visualizations for accessing and utilizing databases have not kept pace with this level of flexibility. This paper introduces the concept of visualization schemas, based on the Snap-Together Visualization model, which are analogous to relational data schemas. Visualization schemas enable users to rapidly construct customized multiple-view visualizations for databases in a similarly flexible fashion without programming. Since the design of appropriate visualizations for a given database depends on the data schema, visualization schemas are a natural analogy to the data schema concept.",Chris North 0001;Nathan Conklin;Varun Saini,C. North;N. Conklin;V. Saini,"Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA;Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA;Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA",10.1109/INFVIS.1995.528688;10.1109/INFVIS.1997.636788,,42,5,20,
InfoVis,2002,Building a visual database for example-based graphics generation,10.1109/INFVIS.2002.1173143,http://dx.doi.org/10.1109/INFVIS.2002.1173143,23,30,C,"Example-based graphics generation systems automatically create new information visualizations by learning from existing graphic examples. As part of the effort on developing a general-purpose example-based generation system, we are building a visual database of graphic examples. In this paper, we address two main issues involved in constructing such a database: example selection and example modeling. As a result, our work offers three unique contributions: First, we build a visual database that contains a diverse collection of well-designed examples. Second, we develop a feature-based scheme to model all examples uniformly and accurately. Third, our visual database brings several important implications to the area of information visualization.",Michelle X. Zhou;Min Chen;Ying Feng,M.X. Zhou;Min Chen;Ying Feng,"IBM Thomas J. Watson Res. Center, Hawthorne, NY, USA;IBM Thomas J. Watson Res. Center, Hawthorne, NY, USA",10.1109/INFVIS.1996.559211,,12,5,23,
InfoVis,2002,Efficient cartogram generation: a comparison,10.1109/INFVIS.2002.1173144,http://dx.doi.org/10.1109/INFVIS.2002.1173144,33,36,C,"Cartograms are a well-known technique for showing geography-related statistical information, such as population demographics and epidemiological data. The basic idea is to distort a map by resizing its regions according to a statistical parameter, but in a way that keeps the map recognizable. We deal with the problem of making continuous cartograms that strictly retain the topology of the input mesh. We compare two algorithms to solve the continuous cartogram problem. The first one uses an iterative relocation of the vertices based on scanlines. The second one is based on the Gridfit technique, which uses pixel-based distortion based on a quadtree-like data structure.",Daniel A. Keim;Stephen C. North;Christian Panse;Jörn Schneidewind,D.A. Keim;S.C. North;C. Panse;J. Schneidewind,"AT&T Shannon Lab., Florham Park, NJ, USA;AT&T Shannon Lab., Florham Park, NJ, USA",10.1109/VISUAL.1998.745301;10.1109/VISUAL.1998.745303,,42,3,8,
InfoVis,2002,Visualizing data with bounded uncertainty,10.1109/INFVIS.2002.1173145,http://dx.doi.org/10.1109/INFVIS.2002.1173145,37,40,C,"Visualization is a powerful way to facilitate data analysis, but it is crucial that visualization systems explicitly convey the presence, nature, and degree of uncertainty to users. Otherwise, there is a danger that data will be falsely interpreted, potentially leading to inaccurate conclusions. A common method for denoting uncertainty is to use error bars or similar techniques designed to convey the degree of statistical uncertainty. While uncertainty can often be modeled statistically, a second form of uncertainty, bounded uncertainty, can also arise that has very different properties than statistical uncertainty. Error bars should not be used for bounded uncertainty because they do not convey the correct properties, so a different technique should be used instead. We describe a technique for conveying bounded uncertainty in visualizations and show how it can be applied systematically to common displays of abstract charts and graphs. Interestingly, it is not always possible to show the exact degree of uncertainty, and in some cases it can only be displayed approximately.",Christopher Olston;Jock D. Mackinlay,C. Olston;J.D. Mackinlay,"Stanford Univ., CA, USA",10.1109/VISUAL.1994.346317;10.1109/VISUAL.2000.885679;10.1109/INFVIS.1999.801858,"uncertainty visualization, bounded uncertainty",107,20,17,
InfoVis,2002,Graphical encoding for information visualization: an empirical study,10.1109/INFVIS.2002.1173146,http://dx.doi.org/10.1109/INFVIS.2002.1173146,43,50,C,"Research in several areas provides scientific guidance for use of graphical encoding to convey information in an information visualization display. By graphical encoding we mean the use of visual display elements such as icon color, shape, size, or position to convey information about objects represented by the icons. Literature offers inconclusive and often conflicting viewpoints, including the suggestion that the effectiveness of a graphical encoding depends on the type of data represented. Our empirical study suggests that the nature of the users' perceptual task is more indicative of the effectiveness of a graphical encoding than the type of data represented.",Lucy T. Nowell;Robert S. Schulman;Deborah Hix,L. Nowell;R. Schulman;D. Hix,"Battelle Pacific Northwest Lab., Richland, WA, USA",,,40,8,31,
InfoVis,2002,The illusion of perceived metric 3D structure,10.1109/INFVIS.2002.1173147,http://dx.doi.org/10.1109/INFVIS.2002.1173147,51,56,C,"A large body of results on the characteristics of human spatial vision suggests that space perception is distorted. Recent studies indicate that the geometry of visual space is best understood as Affine. If this is the case, it has far reaching implications on how 3D visualizations can be successfully employed. For instance, all attempts to build visualization systems where users are expected to discover relations based on Euclidean distances or shapes will be ineffective. Because visualization can, and sometimes do, employ all possible types of depth information and because the results from vision research usually concentrates on one or two such types, three experiments were performed under near optimal viewing conditions. The aim of the experiments was twofold: To test whether the earlier findings generalize to optimal viewing conditions and to get a sense of the size of the error under such conditions. The results show that the findings do generalize and that the errors are large. The implications of these results for successful visualizations are discussed.",Mats Lind;Geoffrey P. Bingham;Camilla Forsell,M. Lind;G.P. Bingham;C. Forser,"Dept. of Inf. Sci., Uppsala Univ., Sweden",10.1109/INFVIS.2001.963291,,4,1,12,
InfoVis,2002,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",10.1109/INFVIS.2002.1173148,http://dx.doi.org/10.1109/INFVIS.2002.1173148,57,64,C,"We present a novel tree browser that builds on the conventional node link tree diagrams. It adds dynamic rescaling of branches of the tree to best fit the available screen space, optimized camera movement, and the use of preview icons summarizing the topology of the branches that cannot be expanded. In addition, it includes integrated search and filter functions. This paper reflects on the evolution of the design and highlights the principles that emerged from it. A controlled experiment showed benefits for navigation to already previously visited nodes and estimation of overall tree topology.",Catherine Plaisant;Jesse Grosjean;Benjamin B. Bederson,C. Plaisant;J. Grosjean;B.B. Bederson,"Human-Comput. Interaction Lab., Maryland Univ., MD, USA;Human-Comput. Interaction Lab., Maryland Univ., MD, USA;Human-Comput. Interaction Lab., Maryland Univ., MD, USA",10.1109/VISUAL.1996.567745,,497,68,23,
InfoVis,2002,Process visualization with levels of detail,10.1109/INFVIS.2002.1173149,http://dx.doi.org/10.1109/INFVIS.2002.1173149,67,70,C,"We demonstrate how we apply information visualization techniques to process monitoring. Virtual instruments are enhanced using history encoding instruments are capable of displaying the current value and the value from the near past. Multi-instruments are capable of displaying several data sources simultaneously. Levels of detail for virtual instruments are introduced where the screen area is inversely proportional to the information amount displayed. Furthermore the monitoring system is enhanced by using: 3D anchoring attachment of instruments to positions on a 3D model, collision avoidance a physically based spring model prevents instruments from overlapping, and focus+context rendering - giving the user a possibility to examine particular instruments in detail without loosing the context information.",Kresimir Matkovic;Helwig Hauser;Reinhard Sainitzer;M. Eduard Gröller,K. Matkovic;H. Hauser;R. Sainitzer;M.E. Groller,"VRVis Res. Center, Vienna, Austria;VRVis Res. Center, Vienna, Austria",10.1109/INFVIS.1998.729558;10.1109/INFVIS.2001.963286,"process visualization, information visualization, levels of detail, focus+context visualization",31,19,10,
InfoVis,2002,Case study: visualizing sets of evolutionary trees,10.1109/INFVIS.2002.1173150,http://dx.doi.org/10.1109/INFVIS.2002.1173150,71,74,C,"We describe a visualization tool which allows a biologist to explore a large set of hypothetical evolutionary trees. Interacting with such a dataset allows the biologist to identify distinct hypotheses about how different species or organisms evolved, which would not have been clear from traditional analyses. Our system integrates a point-set visualization of the distribution of hypothetical trees with detail views of an individual tree, or of a consensus tree summarizing a subset of trees. Efficient algorithms were required for the key tasks of computing distances between trees, finding consensus trees, and laying out the point-set visualization.",Nina Amenta;Jeff Klingner,N. Amenta;J. Klingner,"Texas Univ., Austin, TX, USA;Texas Univ., Austin, TX, USA",10.1109/VISUAL.1996.567787;10.1109/VISUAL.1993.398870,,105,24,15,
InfoVis,2002,InterRing: an interactive tool for visually navigating and manipulating hierarchical structures,10.1109/INFVIS.2002.1173151,http://dx.doi.org/10.1109/INFVIS.2002.1173151,77,84,C,"Radial, space-filling (RSF) techniques for hierarchy visualization have several advantages over traditional node-link diagrams, including the ability to efficiently use the display space while effectively conveying the hierarchy structure. Several RSF systems and tools have been developed to date, each with varying degrees of support for interactive operations such as selection and navigation. We describe what we believe to be a complete set of desirable operations on hierarchical structures. We then present InterRing, an RSF hierarchy visualization system that supports a significantly more extensive set of these operations than prior systems. In particular, InterRing supports multi-focus distortions, interactive hierarchy reconfiguration, and both semi-automated and manual selection. We show the power and utility of these and other operations, and describe our on-going efforts to evaluate their effectiveness and usability.",Jing Yang 0001;Matthew O. Ward;Elke A. Rundensteiner,Jing Yang;M.O. Ward;E.A. Rundensteiner,"Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA;Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA;Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA",10.1109/INFVIS.2001.963290;10.1109/INFVIS.2001.963285;10.1109/INFVIS.1997.636718;10.1109/INFVIS.1999.801858;10.1109/INFVIS.1995.528689;10.1109/INFVIS.2001.963283;10.1109/VISUAL.1991.175815;10.1109/INFVIS.2000.885091;10.1109/INFVIS.1999.801860;10.1109/INFVIS.2001.963284;10.1109/VISUAL.1999.809866;10.1109/INFVIS.2001.963281;10.1109/INFVIS.1998.729557,"radial space-filling hierarchy visualizations, multi-focus distortion, structure-based brushing",167,20,32,
InfoVis,2002,A space-optimized tree visualization,10.1109/INFVIS.2002.1173152,http://dx.doi.org/10.1109/INFVIS.2002.1173152,85,92,C,"We describe a new method for the visualization of tree structured relational data. It can be used especially for the display of very large hierarchies in a 2-dimensional space. We discuss the advantages and limitations of current techniques of tree visualization. Our strategy is to optimize the drawing of trees in a geometrical plane and maximize the utilization of display space by allowing more nodes and links to be displayed at a limit screen resolution. We use the concept of enclosure to partition the entire display space into a collection of local regions that are assigned to all nodes in tree T for the display of their sub-trees and themselves. To enable the exploration of large hierarchies, we use a modified semantic zooming technique to view the detail of a particular part of the hierarchy at a time based on user's interest. Layout animation is also provided to preserve the mental map while the user is exploring the hierarchy by changing zoomed views.",Quang Vinh Nguyen;Mao Lin Huang,Quang Vinh Nguyen;Mao Lin Huang,"Fac. of Inf. Technol., Univ. of Technol., Sydney, NSW, Australia;Fac. of Inf. Technol., Univ. of Technol., Sydney, NSW, Australia",10.1109/INFVIS.1998.729555;10.1109/VISUAL.1991.175815,,90,7,17,
InfoVis,2002,Beamtrees: compact visualization of large hierarchies,10.1109/INFVIS.2002.1173153,http://dx.doi.org/10.1109/INFVIS.2002.1173153,93,100,C,"Beamtrees are a new method for the visualization of large hierarchical data sets. Nodes are shown as stacked circular beams, such that both the hierarchical structure as well as the size of nodes are depicted. The dimensions of beams are calculated using a variation of the treemap algorithm. A small user study indicated that beamtrees are significantly more effective than nested treemaps and cushion treemaps for the extraction of global hierarchical information.",Frank van Ham;Jarke J. van Wijk,F. van Ham;J.J. van Wijk,"Dept. of Math. & Comput. Sci., Technische Universiteit Eindhoven, Netherlands;Dept. of Math. & Comput. Sci., Technische Universiteit Eindhoven, Netherlands",10.1109/INFVIS.2001.963283;10.1109/INFVIS.2001.963290;10.1109/INFVIS.1999.801860;10.1109/VISUAL.1991.175815,,150,11,10,
InfoVis,2002,Visualizing biosequence data using texture mapping,10.1109/INFVIS.2002.1173154,http://dx.doi.org/10.1109/INFVIS.2002.1173154,103,109,C,"Data-mining of information by the process of pattern discovery in protein sequences has been predominantly algorithm based. We discuss a visualization approach, which uses texture mapping and blending techniques to perform visual data-mining on text data obtained from discovering patterns in protein sequences. This visual approach, investigates the possibilities of representing text data in three dimensions and provides new possibilities of representing more dimensions of information in text data visualization and analysis. We also present a generic framework derived from this visualization approach to visualize text in biosequence data.",Praveen R. Thiagarajan;Guang R. Gao,P.R. Thiagarajan;G.R. Gao,"Biotechnol. Inst., Delaware Univ., Newark, DE, USA;Biotechnol. Inst., Delaware Univ., Newark, DE, USA",10.1109/VISUAL.1998.745322;10.1109/INFVIS.2001.963278,,9,0,20,
