Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017
9	125	MARCOS JUAREZ	CORRAL DE BUSTOS	8209	8422	8827	8991	8971
13	178A	RIO CUARTO	LAS ALBAHACAS	424	441	434	440	463
15	228	RIO SECO	SEBASTIAN ELCANO	2373	2280	2449	2514	2589
26	395	UNION	PASCANAS	2255	2346	2435	2474	2458
20	310	SAN JUSTO	SAN FRANCISCO SECC. SUR	26054	26663	27283	27763	28395
16	232	RIO SEGUNDO	CARRILOBO	1593	1649	1705	1705	1735
1	11C	CAPITAL	LAS PALMAS	13087	14037	14779	14810	14249
2	18	CALAMUCHITA	LA CRUZ	1451	1444	1449	1536	1579
17	253	ROQUE SAENZ PEÑA	MELO	1058	1106	1102	1147	1150
1	3	CAPITAL	SECCIONAL TERCERA	19027	18987	19883	19980	20676
20	296	SAN JUSTO	LASPIUR	2199	2187	2201	2376	2386
1	13B	CAPITAL	EL GATEADO	118	162	162	146	128
9	120	MARCOS JUAREZ	ARIAS	6003	6054	6392	6533	6509
1	7D	CAPITAL	COFICO	9041	8475	8690	9141	9791
20	277	SAN JUSTO	ALICIA	2703	2836	2968	3015	2927
14	214	RIO PRIMERO	PIQUILLIN	1569	1602	1666	1676	1699
24	351	TOTORAL	CAÑADA DE LUQUE	1098	1113	1142	1185	1188
26	393	UNION	NOETINGER	4230	4347	4377	4558	4566
1	5	CAPITAL	ALTAMIRA	12947	12893	13463	13676	13933
13	188	RIO CUARTO	RIO CUARTO	71707	74409	76305	77167	76969
23	344	TERCERO ARRIBA	OLIVA	10583	10670	10982	11264	11354
20	313	SAN JUSTO	SEEBER	659	639	637	659	706
1	9E	CAPITAL	PROVIDENCIA	4698	4535	4681	4903	5033
1	2	CAPITAL	SECCIONAL SEGUNDA	5737	5616	5850	5693	6145
5	61	GENERAL ROCA	HUINCA RENANCO	7065	7072	7354	7600	7565
1	10B	CAPITAL	CIUDADELA	11406	11541	11968	12227	12183
3	29A	COLON	TINOCO	265	262	261	263	283
1	7F	CAPITAL	JORGE NEWBERY	7733	8431	8548	8247	8251
23	349	TERCERO ARRIBA	TANCACHA	4605	4631	4677	4818	4912
26	382	UNION	CHILIBROSTE	613	601	612	615	653
18	260	SAN ALBERTO	AMBUL	960	959	974	944	1022
13	194	RIO CUARTO	WASHINGTON	529	524	527	551	563
16	230A	RIO SEGUNDO	CALCHIN OESTE	628	604	647	668	668
20	297	SAN JUSTO	LAS VARAS	1149	1180	1177	1177	1222
16	244A	RIO SEGUNDO	LOS CHAÑARITOS	275	281	285	278	292
23	346	TERCERO ARRIBA	PAMPAYASTA SUD	1203	1243	1269	1271	1274
1	10	CAPITAL	BELLA VISTA	17191	17124	17496	17380	18191
21	329	SANTA MARIA	SAN CLEMENTE	190	161	176	185	201
9	126	MARCOS JUAREZ	CRUZ ALTA	5940	6072	6221	6295	6275
20	301	SAN JUSTO	MARULL	1678	1705	1759	1757	1770
26	397	UNION	SAN ANTONIO	1439	1401	1422	1446	1516
23	338	TERCERO ARRIBA	CORRALITO	1609	1647	1614	1673	1695
1	10G	CAPITAL	OBSERVATORIO	20061	19872	21035	21058	21121
13	175	RIO CUARTO	LA GILDA	76	67	64	73	80
6	76	GRAL SAN MARTIN	CHAZON	973	976	961	994	1024
1	8C	CAPITAL	VILLA LOS PINOS	8082	8187	8377	8417	8468
2	22	CALAMUCHITA	RIO DE LOS SAUCES	1090	1061	1062	1109	1142
13	192	RIO CUARTO	SUCO	452	436	460	477	473
1	10C	CAPITAL	COMERCIAL	6745	6856	6956	6881	7055
25	366	TULUMBA	LUCIO V MANSILLA	1009	1016	1079	1088	1055
1	7B	CAPITAL	ALTA CORDOBA	21765	21793	22364	22648	22752
1	11J	CAPITAL	SANTA ANA	16901	16955	17400	17339	17627
8	110	JUAREZ CELMAN	EL RASTREADOR	71	52	58	60	74
1	14J	CAPITAL	URCA	7728	8073	8164	8063	8049
18	264A	SAN ALBERTO	LOS ESPINILLOS	243	224	230	223	253
20	286	SAN JUSTO	DIEZ DE JULIO	175	161	159	151	182
21	325	SANTA MARIA	LOZADA	1366	1344	1363	1414	1419
16	233	RIO SEGUNDO	COLAZO	1326	1384	1404	1373	1377
16	238	RIO SEGUNDO	MATORRALES	937	953	971	956	973
26	402	UNION	VIAMONTE	1540	1566	1542	1574	1599
14	200	RIO PRIMERO	DIEGO DE ROJAS	490	509	503	503	508
1	8B	CAPITAL	PUEYRREDON	19272	19225	19647	19575	19927
8	111	JUAREZ CELMAN	HUANCHILLA	1138	1251	1211	1212	1176
4	43B	CRUZ DEL EJE	CRUZ DE CAÑA	211	206	203	221	218
13	167	RIO CUARTO	BULNES	1023	1104	1070	1083	1056
9	131A	MARCOS JUAREZ	VILLA ELISA	31	27	26	26	32
21	318	SANTA MARIA	RAFAEL GARCIA	628	611	633	648	648
1	1	CAPITAL	SECCIONAL PRIMERA	15602	15058	15806	15788	16095
20	300	SAN JUSTO	MARINA	1148	1207	1233	1208	1183
5	66	GENERAL ROCA	MATTALDI	1588	1579	1599	1633	1635
1	13H	CAPITAL	PATRICIOS	17040	17351	17594	17310	17543
9	121	MARCOS JUAREZ	BALDISSERA	1934	1978	1985	1992	1988
26	385	UNION	ESCALANTE	1315	1338	1361	1367	1348
9	123	MARCOS JUAREZ	CAMILO ALDAO	4028	3974	3957	4149	4129
15	227A	RIO SECO	RINCONADA	452	456	464	466	463
26	384	UNION	PUEBLO ITALIANO	1562	1553	1580	1585	1594
9	130	MARCOS JUAREZ	LA ITALIANA	662	648	653	639	674
9	132	MARCOS JUAREZ	LOS SURGENTES	2438	2400	2479	2509	2477
15	225	RIO SECO	GUTEMBERG	884	825	839	860	898
26	387	UNION	IDIAZABAL	1443	1417	1464	1470	1460
1	11A	CAPITAL	ALTO ALBERDI	23288	23087	23631	23149	23555
17	255	ROQUE SAENZ PEÑA	ROSALES	539	511	511	540	545
23	337A	TERCERO ARRIBA	CNIA ALMADA	556	543	556	565	562
1	5B	CAPITAL	DEAN FUNES	1868	1874	1905	1892	1888
9	128	MARCOS JUAREZ	INRIVILLE	3419	3495	3404	3487	3450
14	215A	RIO PRIMERO	LA QUINTA	227	222	239	255	229
13	168	RIO CUARTO	CHAJAN	795	861	850	827	801
17	256	ROQUE SAENZ PEÑA	SAN JOAQUIN	145	124	129	146	146
24	356	TOTORAL	SIMBOLAR	328	296	301	319	330
5	59	GENERAL ROCA	BUCHARDO	1767	1734	1712	1803	1777
7	91	ISCHILIN	AVELLANEDA	499	458	435	485	501
1	13A	CAPITAL	AYACUCHO	17010	17413	17868	16822	17047
1	11D	CAPITAL	LOS NARANJOS	12993	12715	12869	12732	13002
1	9A	CAPITAL	LA FRANCE	4984	4990	5088	4942	4987
2	18B	CALAMUCHITA	CALERAS DE CALAMUCHITA	210	214	214	202	210
8	110A	JUAREZ CELMAN	PACHECO DE MELO	84	85	70	72	84
1	9C	CAPITAL	LOS PARAISOS	14116	13993	14055	13942	14098
1	13N	CAPITAL	YOFRE	7604	7548	7590	7489	7591
14	198	RIO PRIMERO	CAPILLA DE REMEDIOS	1078	1069	1068	1065	1075
6	86	GRAL SAN MARTIN	SILVIO PELLICO	635	656	650	630	633
1	9	CAPITAL	ESCOBAR	5958	5968	6072	5873	5916
16	234	RIO SEGUNDO	COSTA SACATE	1400	1413	1426	1377	1386
1	9F	CAPITAL	SAN MARTIN	15444	15194	15398	15226	15282
14	207	RIO PRIMERO	LAS SALADAS	261	249	250	257	258
14	201A	RIO PRIMERO	LAS GRAMILLAS	144	129	133	137	142
1	14F	CAPITAL	GRANJA DE FUNES	6877	7016	7160	6703	6771
26	376	UNION	BISMARCK	428	433	422	415	420
20	299	SAN JUSTO	LUXARDO	371	399	370	358	364
23	347A	TERCERO ARRIBA	LAS ISLETILLAS	265	278	268	262	260
23	349A	TERCERO ARRIBA	GENERAL FOTHERINGHAM	347	354	366	352	340
3	36	COLON	LA PUERTA	357	330	281	347	349
14	222	RIO PRIMERO	VILLA FONTANA	959	942	942	911	933
1	13	CAPITAL	LEANDRO N. ALEM	9539	9366	9501	9241	9268
9	124	MARCOS JUAREZ	CAVANAGH	1099	1078	1069	1056	1065
25	368	TULUMBA	SAN JOSE DE LAS SALINAS	675	641	646	648	654
6	80	GRAL SAN MARTIN	LUCA	606	619	603	588	587
14	201	RIO PRIMERO	COLONIA LAS CUATRO ESQUINAS	126	108	100	114	122
1	12B	CAPITAL	COLON	23755	23252	23471	22939	22935
17	254	ROQUE SAENZ PEÑA	RIO BAMBA	105	86	84	99	101
15	223	RIO SECO	CANDELARIA NORTE	858	749	770	764	825
16	237B	RIO SEGUNDO	PUEBLO LUDUEÑA	205	180	179	189	197
9	127	MARCOS JUAREZ	GUATIMOZIN	2196	2184	2161	2147	2108
1	13C	CAPITAL	GENERAL BUSTOS	14527	14227	14212	13838	13927
17	258	ROQUE SAENZ PEÑA	VILLA ROSSI	611	558	574	568	581
23	345	TERCERO ARRIBA	PAMPAYASTA NORTE	447	412	412	425	424
9	137	MARCOS JUAREZ	SAIRA	805	759	753	755	762
1	9B	CAPITAL	LAS MARGARITAS	8463	8089	8141	7968	8009
11	146A	POCHO	TALA CAÑADA	320	287	283	283	302
26	390	UNION	MONTE LEÑA	564	526	517	514	530
15	226	RIO SECO	LOS HOYOS	476	454	441	453	447
23	343	TERCERO ARRIBA	LOS ZORROS	662	633	608	603	621
1	6	CAPITAL	ALTO GRAL PAZ	5603	5328	5352	5305	5240
23	347	TERCERO ARRIBA	PUNTA DEL AGUA	242	243	234	227	226
9	128A	MARCOS JUAREZ	SALADILLO	151	143	129	136	141
14	199	RIO PRIMERO	CHALACEA	256	226	228	230	239
2	15	CALAMUCHITA	AMBOY	271	254	253	240	253
22	332	SOBREMONTE	POZO NUEVO	593	542	537	561	547
1	9G	CAPITAL	VILLA CABRERA	6371	6150	6060	5899	5859
21	327	SANTA MARIA	MONTE RALO	524	485	469	488	481
5	71	GENERAL ROCA	VILLA SARMIENTO	324	300	299	308	297
1	14M	CAPITAL	VILLA CENTENARIO	10601	10234	10022	9704	9704
2	18C	CALAMUCHITA	VILLA CAÑADA DEL SAUCE	79	70	64	80	72
1	5G	CAPITAL	SAN VICENTE	17419	17037	16564	15859	15742
2	16C	CALAMUCHITA	VILLA BERNA	110	104	96	106	99
19	274	SAN JAVIER	SAN JAVIER	936	971	814	724	841
14	215	RIO PRIMERO	PLAZA DE MERCEDES	141	130	146	140	126
4	48	CRUZ DEL EJE	LA HIGUERA	571	535	521	579	509
11	145	POCHO	POCHO	551	510	508	499	488
22	334	SOBREMONTE	CHUÑAHUASI	382	354	341	344	337
16	236A	RIO SEGUNDO	COLONIA VIDELA	54	37	36	45	47
25	367	TULUMBA	ROSARIO DEL SALADILLO	523	491	468	493	451
15	229A	RIO SECO	EUFRASIO LOZA	238	215	209	205	205
7	92	ISCHILIN	CAÑADA DE RIO PINTO	443	391	399	398	376
14	197	RIO PRIMERO	LA POSTA	407	353	328	337	345
22	333	SOBREMONTE	CAMINIAGA	525	436	429	453	442
14	208	RIO PRIMERO	COMECHINGONES	369	330	319	311	310
5	68	GENERAL ROCA	PINCEN	304	290	291	254	255
24	354	TOTORAL	SANTA CATALINA	302	266	246	234	251
2	18A	CALAMUCHITA	LUTTI	189	187	181	157	157
13	180	RIO CUARTO	LAS PEÑAS	248	250	239	215	206
20	302	SAN JUSTO	MAUNIER	162	157	147	113	134
20	294A	SAN JUSTO	COLONIA VALTELINA	207	217	195	182	171
2	21	CALAMUCHITA	LAS BAJADAS	338	303	286	269	278
4	49	CRUZ DEL EJE	LOS SAUCES	111	104	90	82	91
10	140A	MINAS	OJO DE AGUA DE TOTOX	111	104	83	89	91
1	14L	CAPITAL	VILLA BELGRANO	6296	6110	5819	5310	5134
9	135	MARCOS JUAREZ	CAP.B.O HIGGINS	390	376	345	320	317
26	386	UNION	GOULD	776	696	665	632	628
17	251	ROQUE SAENZ PEÑA	LEGUIZAMON	172	119	106	120	139
20	287	SAN JUSTO	DOS HERMANOS	180	149	141	125	144
1	14D	CAPITAL	CERRO DE LAS ROSAS	8282	7717	7477	6883	6594
14	196	RIO PRIMERO	CAÑADA DE MACHADO	276	252	242	229	219
2	16	CALAMUCHITA	ATHOS PAMPA	210	169	130	151	165
13	190	RIO CUARTO	SAN AMBROSIO	162	163	165	128	125
20	281	SAN JUSTO	BEIRO	254	209	159	155	192
4	47	CRUZ DEL EJE	IGLESIA VIEJA	122	68	99	71	92
10	138B	MINAS	RUMIHUASI	141	128	89	101	103
25	360B	TULUMBA	LA TOMA	200	148	115	115	146
24	350	TOTORAL	CANDELARIA	537	422	376	400	390
20	292	SAN JUSTO	ITURRASPE	155	152	145	112	112
20	291A	SAN JUSTO	COLONIA ANITA	108	92	83	79	78
14	202	RIO PRIMERO	ESQUINA	459	325	327	341	327
1	6B	CAPITAL	CHACRA DE LA MERCED	304	279	280	244	216
5	67	GENERAL ROCA	ONAGOITY	91	82	73	67	64
25	360	TULUMBA	CHURQUI CAÑADA	218	206	183	163	151
5	69	GENERAL ROCA	RANQUELES	66	55	55	51	45
18	261B	SAN ALBERTO	VILLA BENEGAS	71	67	63	48	48
13	176	RIO CUARTO	LA INVERNADA	111	89	75	71	74
7	101	ISCHILIN	TOYOS	134	100	91	82	88
10	139A	MINAS	AGUA DE RAMON	128	115	95	89	84
10	140	MINAS	LA ARGENTINA	296	284	243	216	192
14	209	RIO PRIMERO	MAQUINISTA GALLINI	253	201	191	182	164
26	379	UNION	CARCANO	36	38	33	17	23
14	219	RIO PRIMERO	SAGRADA FAMILIA	274	220	204	181	175
20	279A	SAN JUSTO	EL FUERTECITO	590	486	396	373	375
18	263A	SAN ALBERTO	PAMPA DE ACHALA	228	175	163	122	142
7	91A	ISCHILIN	CANTERAS	37	23	20	23	23
14	195	RIO PRIMERO	ATAHONA	273	219	204	166	165
11	144A	POCHO	LAS JARILLAS	154	113	80	93	91
1	13M	CAPITAL	CAMINO A COLONIA TIROLESA (En 2007 era Villa Retiro)	735	642	618	460	431
5	65	GENERAL ROCA	LECUEDER	33	24	22	18	19
7	98	ISCHILIN	JAIME PETER	106	76	60	55	59
14	221	RIO PRIMERO	EL ALCALDE	199	159	141	116	110
18	260A	SAN ALBERTO	EL VOLCAN	67	63	60	35	37
18	266A	SAN ALBERTO	SAN RAFAEL	273	248	240	158	150
18	265B	SAN ALBERTO	LA CORTADERA	142	132	118	82	78
6	81	GRAL SAN MARTIN	MOJARRAS	114	99	77	68	61
19	269B	SAN JAVIER	EL MANANTIAL	65	42	29	29	34
14	212	RIO PRIMERO	MONTE DEL ROSARIO	253	191	171	146	131
4	53A	CRUZ DEL EJE	LOS LEONES	113	82	64	56	58
18	263B	SAN ALBERTO	LOS CERROS	47	42	35	20	24
4	52	CRUZ DEL EJE	PICHANAS	290	217	254	159	147
14	216	RIO PRIMERO	PUNTA DEL AGUA	75	53	44	38	37
14	217	RIO PRIMERO	QUEBRACHO	177	139	124	93	85
3	39	COLON	SANTA TERESA	124	97	77	63	59
10	141	MINAS	PIEDRITA BLANCA	130	114	89	61	60
10	138A	MINAS	RUMIACO	50	40	27	27	23
25	370A	TULUMBA	LA CAÑADA	60	45	30	28	27
26	396A	UNION	VILLA LOS PATOS	76	61	51	43	34
4	54A	CRUZ DEL EJE	CANTERAS QUILPO	176	138	126	95	78
11	144B	POCHO	EL MEDANITO	158	119	81	64	68
15	224	RIO SECO	ENCRUCIJADA	101	75	50	42	43
6	84	GRAL SAN MARTIN	SANABRIA	80	67	50	40	34
25	363	TULUMBA	ISLA DE SAN ANTONIO	116	82	69	49	49
7	97	ISCHILIN	ISCHILIN	162	103	90	76	65
1	5E	CAPITAL	VILLA BUSTOS (En 2007 era PRIMERO DE MAYO)	10232	5294	4345	4055	4072
14	206	RIO PRIMERO	LAS HERAS	144	100	84	61	57
4	53B	CRUZ DEL EJE	EL ABRA	114	74	51	45	43
15	225A	RIO SECO	LA CAÑADA	226	146	124	89	85
14	210	RIO PRIMERO	BLAS DE ROSALES	245	177	140	106	92
1	6A	CAPITAL	BAJADA DE PIEDRA	792	614	500	340	294
4	51A	CRUZ DEL EJE	SANTA ANA	205	158	128	86	75
25	370	TULUMBA	SANTA CRUZ	252	172	138	97	92
1	7C	CAPITAL	CNO. A PAJAS BLANCAS	22	25	11	11	8
4	43	CRUZ DEL EJE	CANDELARIA	125	93	75	51	40
24	353	TOTORAL	MACHA	210	137	98	76	65
1	7	CAPITAL	AEROPUERTO	403	298	260	150	112
21	322	SANTA MARIA	COSME	176	105	87	50	48
18	259	SAN ALBERTO	ALTAUTINA	73	47	30	21	19
4	53	CRUZ DEL EJE	SAN ANTONIO	110	69	62	31	26
25	365	TULUMBA	LAS MASITAS	60	36	27	16	14
25	362	TULUMBA	EL BAÑADO	148	99	63	39	34
20	312	SAN JUSTO	SAUZE	75	48	36	22	17
13	173	RIO CUARTO	LA ARGENTINA	40	32	27	17	9
2	16B	CALAMUCHITA	CHAMPAQUI	46	38	31	12	10
21	320	SANTA MARIA	BUENA VISTA	110	65	52	27	19
16	242A	RIO SEGUNDO	CAÑADA DE MACHADO SUD	55	32	24	17	8
26	397A	UNION	CORRAL DEL BAJO	163	95	61	13	7
